year,province,district,Number of ballot boxes,Number of registered voters,Number of voters who voted,valid votes,invalid votes,AKP,MHP,HDP,CHP,SP,İP,The Peoples Alliance,The Nation Alliance,BBP,YRP,YSP,TİP,ZP,The People's Alliance,The Labor and Freedom Alliance,The Ata Alliance
2018,Adana,Seyhan,1509.0,544445.0,466048.0,457965.0,8083.0,136592.0,40669.0,92814.0,131387.0,4605.0,44007.0,3533.0,977.0,,,,,,,,
2018,Adana,Ceyhan,354.0,110714.0,95135.0,93224.0,1911.0,28443.0,13283.0,15444.0,21430.0,779.0,12238.0,846.0,157.0,,,,,,,,
2018,Adana,Feke,62.0,12564.0,10987.0,10632.0,355.0,5818.0,1626.0,44.0,1326.0,128.0,1449.0,114.0,20.0,,,,,,,,
2018,Adana,Karaisalı,79.0,16041.0,14537.0,14143.0,394.0,7879.0,2432.0,91.0,1292.0,187.0,2038.0,139.0,12.0,,,,,,,,
2018,Adana,Karataş,70.0,16151.0,14180.0,13963.0,217.0,3457.0,1896.0,1569.0,5233.0,104.0,1505.0,110.0,34.0,,,,,,,,
2018,Adana,Kozan,305.0,92315.0,78781.0,76810.0,1971.0,36118.0,11986.0,853.0,11241.0,1042.0,14052.0,900.0,139.0,,,,,,,,
2018,Adana,Pozantı,51.0,14503.0,13181.0,12881.0,300.0,5803.0,2004.0,233.0,2684.0,212.0,1709.0,153.0,21.0,,,,,,,,
2018,Adana,Saimbeyli,45.0,10942.0,8996.0,8688.0,308.0,4429.0,2107.0,69.0,922.0,79.0,868.0,119.0,11.0,,,,,,,,
2018,Adana,Tufanbeyli,60.0,12755.0,11152.0,10809.0,343.0,4626.0,2508.0,156.0,2084.0,167.0,1018.0,139.0,10.0,,,,,,,,
2018,Adana,Yumurtalık,47.0,13108.0,11274.0,11003.0,271.0,3811.0,1788.0,391.0,2678.0,100.0,2027.0,118.0,27.0,,,,,,,,
2018,Adana,Yüreğir,787.0,275514.0,230697.0,225295.0,5402.0,88348.0,22022.0,37420.0,49539.0,2193.0,20010.0,1990.0,456.0,,,,,,,,
2018,Adana,Aladağ,50.0,12018.0,10829.0,10507.0,322.0,5092.0,1859.0,63.0,1557.0,135.0,1598.0,99.0,11.0,,,,,,,,
2018,Adana,İmamoğlu,66.0,20256.0,16948.0,16477.0,471.0,8005.0,2440.0,389.0,2711.0,227.0,2364.0,243.0,25.0,,,,,,,,
2018,Adana,Sarıçam,322.0,106808.0,93526.0,91922.0,1604.0,37337.0,19863.0,4109.0,14026.0,858.0,13903.0,1264.0,166.0,,,,,,,,
2018,Adana,Çukurova,736.0,266788.0,237226.0,234948.0,2278.0,56345.0,23610.0,19186.0,89387.0,2922.0,40236.0,1637.0,713.0,,,,,,,,
2018,Adıyaman,Merkez,620.0,193718.0,170910.0,166939.0,3971.0,80895.0,16923.0,32013.0,21296.0,2699.0,10293.0,1146.0,168.0,,,,,,,,
2018,Adıyaman,Besni,195.0,50927.0,42421.0,41083.0,1338.0,22159.0,3733.0,4083.0,6994.0,479.0,2941.0,317.0,73.0,,,,,,,,
2018,Adıyaman,Çelikhan,53.0,10671.0,9888.0,9634.0,254.0,5348.0,509.0,1909.0,1299.0,239.0,210.0,53.0,10.0,,,,,,,,
2018,Adıyaman,Gerger,63.0,11605.0,8803.0,8528.0,275.0,6688.0,284.0,788.0,309.0,163.0,180.0,40.0,9.0,,,,,,,,
2018,Adıyaman,Gölbaşı,115.0,34202.0,29717.0,29005.0,712.0,13369.0,4106.0,2256.0,6492.0,270.0,1982.0,308.0,54.0,,,,,,,,
