uni_name,type,city,region,year,foundation_year
ABDULLAH GÜL ÜNİVERSİTESİ,state,Kayseri,Central Anatolia,2024,2010
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2007
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,state,Adana,Mediterranean,2024,2011
ADIYAMAN ÜNİVERSİTESİ,state,Adıyaman,Southeastern Anatolia,2024,2006
AFYON KOCATEPE ÜNİVERSİTESİ,state,Afyonkarahisar,Aegean,2024,1992
AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,state,Afyonkarahisar,Aegean,2024,2018
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,state,Ağrı,East Anatolia,2024,2007
AKDENİZ ÜNİVERSİTESİ,state,Antalya,Mediterranean,2024,1982
AKSARAY ÜNİVERSİTESİ,state,Aksaray,Central Anatolia,2024,2006
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,state,Antalya,Mediterranean,2024,2015
ALANYA ÜNİVERSİTESİ,foundation,Antalya,Mediterranean,2024,2011
ALTINBAŞ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2008
AMASYA ÜNİVERSİTESİ,state,Amasya,Black Sea,2024,2006
ANADOLU ÜNİVERSİTESİ,state,Eskişehir,Central Anatolia,2024,1973
ANKA TEKNOLOJİ ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,2013
ANKARA BİLİM ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,2020
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2024,2018
ANKARA MEDİPOL ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,2018
ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2024,2017
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2024,2013
ANKARA ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2024,1946
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2024,2010
ANTALYA BELEK ÜNİVERSİTESİ,foundation,Antalya,Mediterranean,2024,2015
ANTALYA BİLİM ÜNİVERSİTESİ,foundation,Antalya,Mediterranean,2024,2010
ARDAHAN ÜNİVERSİTESİ,state,Ardahan,East Anatolia,2024,2008
ARTVİN ÇORUH ÜNİVERSİTESİ,state,Artvin,Black Sea,2024,2007
ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU,,İstanbul,Marmara,2024,2014
ATATÜRK ÜNİVERSİTESİ,state,Erzurum,East Anatolia,2024,1957
ATILIM ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,1997
AVRASYA ÜNİVERSİTESİ,foundation,Trabzon,Black Sea,2024,2010
AYDIN ADNAN MENDERES ÜNİVERSİTESİ,state,Aydın,Aegean,2024,1992
BAHÇEŞEHİR ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1998
BALIKESİR ÜNİVERSİTESİ,state,Balıkesir,Marmara,2024,1992
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,state,Balıkesir,Marmara,2024,2015
BARTIN ÜNİVERSİTESİ,state,Bartın,Black Sea,2024,2008
BAŞKENT ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,1994
BATMAN ÜNİVERSİTESİ,state,Batman,Southeastern Anatolia,2024,2007
BAYBURT ÜNİVERSİTESİ,state,Bayburt,Black Sea,2024,2008
BEYKOZ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2016
BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2010
BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,state,Bilecik,Marmara,2024,2007
BİNGÖL ÜNİVERSİTESİ,state,Bingöl,East Anatolia,2024,2007
BİRUNİ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2014
BİTLİS EREN ÜNİVERSİTESİ,state,Bitlis,East Anatolia,2024,2007
BOĞAZİÇİ ÜNİVERSİTESİ,state,İstanbul,Marmara,2024,1971
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,state,Bolu,Black Sea,2024,1992
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,state,Burdur,Mediterranean,2024,2006
BURSA TEKNİK ÜNİVERSİTESİ,state,Bursa,Marmara,2024,2010
BURSA ULUDAĞ ÜNİVERSİTESİ,state,Bursa,Marmara,2024,1975
ÇAĞ ÜNİVERSİTESİ,foundation,Mersin,Mediterranean,2024,1997
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,state,Çanakkale,Marmara,2024,1992
ÇANKAYA ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,1997
ÇANKIRI KARATEKİN ÜNİVERSİTESİ,state,Çankırı,Central Anatolia,2024,2007
ÇUKUROVA ÜNİVERSİTESİ,state,Adana,Mediterranean,2024,1973
DEMİROĞLU BİLİM ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2006
DİCLE ÜNİVERSİTESİ,state,Diyarbakır,Southeastern Anatolia,2024,1973
DOĞUŞ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1997
DOKUZ EYLÜL ÜNİVERSİTESİ,state,İzmir,Aegean,2024,1982
DÜZCE ÜNİVERSİTESİ,state,Düzce,Black Sea,2024,2006
EGE ÜNİVERSİTESİ,state,İzmir,Aegean,2024,1955
ERCİYES ÜNİVERSİTESİ,state,Kayseri,Central Anatolia,2024,1982
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,state,Erzincan,East Anatolia,2024,2006
ERZURUM TEKNİK ÜNİVERSİTESİ,state,Erzurum,East Anatolia,2024,2010
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,state,Eskişehir,Central Anatolia,2024,1993
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,state,Eskişehir,Central Anatolia,2024,2018
FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2010
FENERBAHÇE ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2016
FIRAT ÜNİVERSİTESİ,state,Elazığ,East Anatolia,2024,1975
GALATASARAY ÜNİVERSİTESİ,state,İstanbul,Marmara,2024,1994
GAZİ ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2024,1982
GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,state,Gaziantep,Southeastern Anatolia,2024,2018
GAZİANTEP ÜNİVERSİTESİ,state,Gaziantep,Southeastern Anatolia,2024,1987
GEBZE TEKNİK ÜNİVERSİTESİ,state,Kocaeli,Marmara,2024,1992
GİRESUN ÜNİVERSİTESİ,state,Giresun,Black Sea,2024,2006
GÜMÜŞHANE ÜNİVERSİTESİ,state,Gümüşhane,Black Sea,2024,2008
HACETTEPE ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2024,1967
HAKKARİ ÜNİVERSİTESİ,state,Hakkari,East Anatolia,2024,2008
HALİÇ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1998
HARRAN ÜNİVERSİTESİ,state,Şanlıurfa,Southeastern Anatolia,2024,1992
HASAN KALYONCU ÜNİVERSİTESİ,foundation,Gaziantep,Southeastern Anatolia,2024,2008
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,state,Hatay,Mediterranean,2024,1992
HİTİT ÜNİVERSİTESİ,state,Çorum,Black Sea,2024,2006
IĞDIR ÜNİVERSİTESİ,state,Iğdır,East Anatolia,2024,2008
ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,state,Isparta,Mediterranean,2024,2018
IŞIK ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1996
İBN HALDUN ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2015
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,1985
İNÖNÜ ÜNİVERSİTESİ,state,Malatya,East Anatolia,2024,1975
İSKENDERUN TEKNİK ÜNİVERSİTESİ,state,Hatay,Mediterranean,2024,2015
İSTANBUL AREL ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2007
İSTANBUL ATLAS ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2018
İSTANBUL AYDIN ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2007
İSTANBUL BEYKENT ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1997
İSTANBUL BİLGİ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1996
İSTANBUL ESENYURT ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2013
İSTANBUL GALATA ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2019
İSTANBUL GEDİK ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2011
İSTANBUL GELİŞİM ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2011
İSTANBUL KENT ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2016
İSTANBUL KÜLTÜR ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1997
