sex,,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female
age_group,,0-4,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,5-9,60-64,65-69,70-74,75-79,80-84,85-89,90+,0-4,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,5-9,60-64,65-69,70-74,75-79,80-84,85-89,90+
year,province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Adana,87875,100851,96648,78022,90764,80670,70980,68068,58558,52112,39015,98461,25106,18567,13698,9293,4313,1194,669,83028,95678,92820,89272,91603,81928,72133,68204,58946,51402,39610,93870,27931,22227,16919,13775,7869,2810,1761
2007,Adıyaman,31114,35241,32872,24563,25786,20867,17573,15887,11527,10253,8264,33920,5755,5354,4266,3514,1331,346,182,29343,33785,31803,28637,26838,21696,17007,14286,11860,10555,9782,32072,7440,6242,4572,3973,2497,1103,656
2007,Afyonkarahisar,28518,31309,30986,32886,29935,25038,23980,22329,21158,18181,14633,31575,10606,9792,8437,6029,2427,564,206,27140,30000,29701,32080,28878,25923,24061,22592,21205,18780,15373,30085,12226,11654,9847,8158,3812,983,485
2007,Aksaray,16675,18777,17846,14831,16510,14419,12434,11318,8711,7629,6904,19019,4754,3797,3178,1866,938,274,127,15921,18073,17028,16182,16518,14798,12860,11743,9492,8186,7656,18367,5753,4778,3707,2632,1527,567,314
2007,Amasya,10933,13796,13929,18042,13775,11303,10811,11107,10029,9128,7886,13008,6476,5380,5195,3492,1232,312,123,10180,13209,13453,12556,12412,11572,11123,11180,10392,9265,8309,12400,7230,6423,5633,4356,2146,594,284
2007,Ankara,161281,179053,181949,218279,215557,191848,177360,168457,148415,125754,92213,178047,63706,47181,34910,24163,12308,3383,1169,152257,170023,174972,203758,214389,196056,180891,172252,148075,125266,95506,168979,69851,56746,44232,36220,21736,7336,3178
2007,Antalya,71077,77301,72897,67081,87107,84450,78793,71044,59200,49065,35964,77133,25366,20511,14612,10121,4573,1174,531,67035,73175,67659,69361,84080,81297,73869,66311,56326,47298,35161,72782,26008,21213,15941,13229,7226,2123,1201
2007,Ardahan,4693,5954,5412,6527,5225,4286,3511,3108,2594,2496,2180,5519,1964,1527,1299,1081,502,189,28,4466,5781,5058,4344,4534,3732,3158,3039,2553,2502,2477,5119,2245,1899,1318,1416,589,277,119
