sex,,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female
age_group,,15-19,15-19,15-19,15-19,15-19,20-24,20-24,20-24,20-24,20-24,25-29,25-29,25-29,25-29,25-29,30-34,30-34,30-34,30-34,30-34,35-39,35-39,35-39,35-39,35-39,40-44,40-44,40-44,40-44,40-44,45-49,45-49,45-49,45-49,50-54,50-54,50-54,50-54,55-59,55-59,55-59,55-59,55-59,60-64,60-64,60-64,60-64,65-69,65-69,65-69,65-69,70-74,70-74,70-74,70-74,75-79,75-79,75-79,75-79,80-84,80-84,80-84,80-84,85-89,85-89,85-89,85-89,90+,90+,90+,90+,15-19,15-19,15-19,15-19,15-19,20-24,20-24,20-24,20-24,20-24,25-29,25-29,25-29,25-29,25-29,30-34,30-34,30-34,30-34,30-34,35-39,35-39,35-39,35-39,35-39,40-44,40-44,40-44,40-44,40-44,45-49,45-49,45-49,45-49,45-49,50-54,50-54,50-54,50-54,50-54,55-59,55-59,55-59,55-59,55-59,60-64,60-64,60-64,60-64,60-64,65-69,65-69,65-69,65-69,65-69,70-74,70-74,70-74,70-74,70-74,75-79,75-79,75-79,75-79,75-79,80-84,80-84,80-84,80-84,80-84,85-89,85-89,85-89,85-89,85-89,90+,90+,90+,90+,90+
maritial_status,,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,divorced,widowed,married,never_married,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,divorced,widowed,married,never_married,divorced,widowed,married,never_married,divorced,widowed,married,never_married,divorced,widowed,married,never_married,divorced,widowed,married,never_married,divorced,widowed,married,never_married,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married
year,province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Adana,0.0,2,2,420,95993,0.0,108,8,9225,71645,0.0,897,20,45592,45072,0.0,1750,53,62964,16464,0.0,2360,87,65193,6478,0.0,2698,144,61253,3391,2677,245,56064,2104,2346,411,48122,1369,0.0,1680,669,37656,799,870,849,24849,465,494,1133,16696,310,279,1464,10660,125,201,1837,7706,127,84,1283,2780,39,27,471,613,14,5,145,138,5,0.0,26,5,6167,86502,0.0,808,86,37787,50167,0.0,2235,313,63887,24296,0.0,3238,640,65625,12417,0.0,3764,1185,62455,8315,0.0,3629,2123,55409,6087,0.0,3580,3620,49921,4422,0.0,3003,5268,39988,3258,0.0,2132,6805,29438,2313,0.0,1220,8046,18930,1518,0.0,789,8391,11833,1088,0.0,491,8133,6636,552,0.0,322,8294,3895,430,0.0,195,5522,1408,289,0.0,54,1970,263,107,0.0,27,859,73,43
2008,Adıyaman,0.0,2,0,122,32770,0.0,14,0,3439,23108,0.0,124,4,14020,11677,0.0,202,14,17654,3188,0.0,285,18,17154,987,0.0,291,31,14860,441,268,36,12004,289,183,59,9652,226,0.0,139,106,8142,138,77,175,5832,105,48,250,4716,95,47,375,3431,29,26,646,3135,56,15,358,1049,14,2,122,199,5,0,45,58,0,0.0,4,2,1984,29780,0.0,111,22,11242,17292,0.0,279,67,17918,8042,0.0,375,158,17427,3608,0.0,462,326,15747,1918,0.0,384,427,12060,1146,0.0,362,618,10668,875,0.0,223,877,8457,852,0.0,176,1284,7573,770,0.0,117,1710,5601,650,0.0,78,1850,3621,544,0.0,47,1919,2312,219,0.0,39,1911,1402,154,0.0,24,1604,687,128,0.0,13,679,164,68,0.0,7,346,54,32
2008,Afyonkarahisar,0.0,2,0,479,29666,0.0,93,3,7263,22266,0.0,426,20,21010,8431,0.0,622,27,22255,2148,0.0,763,39,22570,901,0.0,725,63,21163,528,628,112,20728,367,478,167,17471,250,0.0,290,286,14511,174,209,429,10457,115,156,661,8406,94,101,1013,6551,42,121,1671,5136,29,54,956,1585,12,17,305,285,0,3,102,44,1,0.0,23,10,3900,24921,0.0,377,44,17146,13459,0.0,783,148,23664,3939,0.0,906,285,22722,1724,0.0,947,568,21867,1238,0.0,852,813,19741,894,0.0,776,1423,19402,690,0.0,545,1901,15839,468,0.0,349,2563,12607,349,0.0,245,3322,8998,279,0.0,190,4237,6720,217,0.0,139,4648,4509,70,0.0,113,5281,2855,71,0.0,72,3195,778,31,0.0,17,877,84,15,0.0,9,318,14,4
2008,Aksaray,0.0,1,0,218,17377,0.0,74,2,4053,12163,0.0,344,5,11902,4590,0.0,464,7,12780,1435,0.0,523,10,11935,628,0.0,444,25,10472,411,298,32,8600,241,238,48,7366,161,0.0,151,92,6562,90,101,145,4821,61,72,202,3443,39,44,258,2559,20,37,386,1795,11,19,309,664,3,12,115,155,2,1,46,43,0,0.0,27,1,2204,14445,0.0,300,18,9492,6408,0.0,684,65,12736,2584,0.0,777,127,12311,1486,0.0,812,219,11449,1162,0.0,637,383,9578,920,0.0,485,601,8306,596,0.0,309,828,6703,450,0.0,247,1146,5824,304,0.0,174,1612,4255,270,0.0,116,1791,2676,166,0.0,77,1824,1769,73,0.0,45,1650,851,60,0.0,19,1149,308,37,0.0,10,447,70,17,0.0,3,195,20,6
2008,Amasya,0.0,0,0,78,13513,0.0,32,0,1922,12290,0.0,127,6,7367,5360,0.0,241,9,9512,1472,0.0,306,15,10074,578,0.0,296,23,10290,339,276,49,9903,244,198,92,8946,131,0.0,129,158,7616,109,98,243,6428,81,66,427,4658,62,60,642,3923,33,57,990,3062,23,15,540,828,9,3,171,142,1,2,56,36,0,0.0,15,0,1103,11993,0.0,108,11,5888,6194,0.0,263,45,9721,2304,0.0,339,119,9908,1034,0.0,336,231,10145,717,0.0,330,451,9581,576,0.0,261,660,9552,428,0.0,167,943,7942,326,0.0,153,1313,6678,251,0.0,95,1839,5551,220,0.0,77,2304,3835,192,0.0,50,2463,2749,91,0.0,45,2618,1704,80,0.0,19,1699,541,54,0.0,13,503,94,14,0.0,1,195,16,4
2008,Ankara,0.0,5,1,750,179703,2.0,385,6,26013,190094,0.0,2719,58,117888,94250,0.0,5331,129,160006,32164,0.0,6662,195,164071,12576,0.0,7290,324,155520,6470,6924,517,143606,3828,5930,895,119321,2485,0.0,4017,1187,89821,1417,2217,1637,62106,827,1300,2290,43703,493,728,2773,28140,274,595,4525,21743,192,270,3403,8904,89,65,1369,2157,22,21,487,430,7,0.0,108,6,14643,158932,0.0,2120,136,86995,112913,0.0,6171,509,154757,54282,0.0,9532,1190,163140,25647,0.0,11358,2504,158815,16368,0.0,11729,4376,144431,11788,0.0,11260,7619,128283,8354,0.0,9078,11452,101953,5766,0.0,6172,14792,73712,3659,0.0,3603,17766,49975,2555,0.0,2381,20829,31720,1796,1.0,1549,20793,18745,1006,0.0,1161,22302,11544,853,0.0,695,16046,4331,595,0.0,237,6129,761,223,0.0,88,2305,144,72
2008,Antalya,0.0,1,0,344,74922,0.0,192,6,9192,57581,0.0,1385,30,47881,39813,0.0,2890,54,68862,15281,0.0,3519,84,73522,6153,0.0,3571,125,66436,2985,3168,196,58697,1684,2699,316,47036,981,0.0,1821,455,35394,558,1008,557,25032,334,580,949,18961,236,302,1174,12189,131,230,1847,9591,77,107,1310,3497,14,27,466,736,3,5,218,170,1,0.0,46,5,5452,64911,0.0,1040,72,35776,34908,0.0,3134,256,65068,16823,0.0,4541,523,69810,7959,0.0,5029,1065,68127,5130,0.0,4686,1693,58091,3360,0.0,4196,2793,51041,2290,0.0,3233,4043,40225,1536,0.0,2127,5230,28664,1026,0.0,1311,6109,19318,808,0.0,811,7206,13134,559,0.0,471,6766,7709,225,0.0,346,7962,5151,254,0.0,228,5553,1667,155,0.0,55,1787,264,44,0.0,20,863,59,12
