year,province,district,male,female
2014,Adana,Aladağ,177,160
2014,Adana,Ceyhan,1535,1453
2014,Adana,Feke,134,120
2014,Adana,Karaisalı,147,117
2014,Adana,Karataş,198,198
2014,Adana,Kozan,1028,1048
2014,Adana,Pozantı,149,150
2014,Adana,Saimbeyli,107,129
2014,Adana,Sarıçam,1481,1341
2014,Adana,Seyhan,7603,7135
2014,Adana,Tufanbeyli,148,135
2014,Adana,Yumurtalık,139,141
2014,Adana,Yüreğir,4846,4695
2014,Adana,Çukurova,2529,2405
2014,Adana,İmamoğlu,247,258
2014,Adıyaman,Besni,764,777
2014,Adıyaman,Gerger,266,258
2014,Adıyaman,Gölbaşı,460,462
2014,Adıyaman,Kahta,1494,1454
2014,Adıyaman,Merkez,3397,3123
2014,Adıyaman,Samsat,122,94
2014,Adıyaman,Sincik,232,222
2014,Adıyaman,Tut,110,107
2014,Adıyaman,Çelikhan,172,167
2014,Afyonkarahisar,Bayat,64,63
2014,Afyonkarahisar,Başmakçı,64,55
2014,Afyonkarahisar,Bolvadin,363,331
2014,Afyonkarahisar,Dazkırı,74,72
2014,Afyonkarahisar,Dinar,317,337
2014,Afyonkarahisar,Emirdağ,285,274
2014,Afyonkarahisar,Evciler,57,50
2014,Afyonkarahisar,Hocalar,74,80
2014,Afyonkarahisar,Kızılören,11,16
2014,Afyonkarahisar,Merkez,2402,2364
2014,Afyonkarahisar,Sandıklı,414,376
2014,Afyonkarahisar,Sinanpaşa,322,344
2014,Afyonkarahisar,Sultandağı,81,77
2014,Afyonkarahisar,Çay,244,211
2014,Afyonkarahisar,Çobanlar,179,174
2014,Afyonkarahisar,İhsaniye,268,265
2014,Afyonkarahisar,İscehisar,276,281
2014,Afyonkarahisar,Şuhut,276,236
2014,Aksaray,Ağaçören,65,60
2014,Aksaray,Eskil,265,251
2014,Aksaray,Gülağaç,214,177
2014,Aksaray,Güzelyurt,93,113
2014,Aksaray,Merkez,2713,2592
2014,Aksaray,Ortaköy,253,223
2014,Aksaray,Sarıyahşi,29,23
2014,Amasya,Göynücek,63,35
2014,Amasya,Gümüşhacıköy,101,95
2014,Amasya,Hamamözü,13,20
2014,Amasya,Merkez,914,827
2014,Amasya,Merzifon,476,443
2014,Amasya,Suluova,336,291
2014,Amasya,Taşova,160,137
2014,Ankara,Akyurt,303,273
2014,Ankara,Altındağ,3041,2786
2014,Ankara,Ayaş,66,79
2014,Ankara,Bala,159,144
2014,Ankara,Beypazarı,338,312
2014,Ankara,Elmadağ,303,278
2014,Ankara,Etimesgut,4469,4125
2014,Ankara,Evren,15,24
2014,Ankara,Gölbaşı,1012,1002
2014,Ankara,Güdül,34,33
2014,Ankara,Haymana,291,284
2014,Ankara,Kalecik,79,77
2014,Ankara,Kazan,465,448
2014,Ankara,Keçiören,6589,6501
2014,Ankara,Kızılcahamam,123,140
2014,Ankara,Mamak,4786,4481
2014,Ankara,Nallıhan,179,166
2014,Ankara,Polatlı,944,922
2014,Ankara,Pursaklar,1294,1210
2014,Ankara,Sincan,4325,4222
2014,Ankara,Yenimahalle,4532,4429
2014,Ankara,Çamlıdere,25,41
2014,Ankara,Çankaya,4933,4620
2014,Ankara,Çubuk,695,636
2014,Ankara,Şereflikoçhisar,227,199
2014,Antalya,Akseki,55,49
2014,Antalya,Aksu,562,599
2014,Antalya,Alanya,2424,2276
2014,Antalya,Demre,195,183
2014,Antalya,Döşemealtı,440,392
2014,Antalya,Elmalı,220,248
2014,Antalya,Finike,320,334
2014,Antalya,Gazipaşa,301,303
2014,Antalya,Gündoğmuş,43,50
2014,Antalya,Kaş,407,381
2014,Antalya,Kemer,362,354
2014,Antalya,Kepez,4331,4041
2014,Antalya,Konyaaltı,985,969
2014,Antalya,Korkuteli,383,369
2014,Antalya,Kumluca,485,443
2014,Antalya,Manavgat,1983,1812
2014,Antalya,Muratpaşa,3507,3221
2014,Antalya,Serik,903,854
2014,Antalya,İbradı,9,15
2014,Ardahan,Damal,34,37
2014,Ardahan,Göle,244,219
2014,Ardahan,Hanak,65,61
2014,Ardahan,Merkez,381,373
2014,Ardahan,Posof,32,45
2014,Ardahan,Çıldır,85,58
