year,province,name,sex,count,rank,total_count
2023,Adana,Asel,Kadın,284,1,13236
2023,Adana,Defne,Kadın,211,2,13236
2023,Adana,Zeynep,Kadın,186,3,13236
2023,Adana,Elif,Kadın,153,4,13236
2023,Adana,Elisa,Kadın,145,5,13236
2023,Adana,Zümra,Kadın,145,5,13236
2023,Adana,Asya,Kadın,143,6,13236
2023,Adana,Masal,Kadın,130,7,13236
2023,Adana,Lina,Kadın,122,8,13236
2023,Adana,Güneş,Kadın,117,9,13236
2023,Adana,Ecrin,Kadın,100,10,13236
2023,Adana,Meryem,Kadın,98,11,13236
2023,Adana,Kumsal,Kadın,91,12,13236
2023,Adana,Azra,Kadın,90,13,13236
2023,Adana,Eylül,Kadın,82,14,13236
2023,Adana,Ebrar,Kadın,81,15,13236
2023,Adana,İkra,Kadın,80,16,13236
2023,Adana,Aden,Kadın,79,17,13236
2023,Adana,Gökçe,Kadın,75,18,13236
2023,Adana,Eslem,Kadın,75,18,13236
2023,Adana,Duru,Kadın,75,18,13236
2023,Adana,Doğa,Kadın,75,18,13236
2023,Adana,Nehir,Kadın,71,19,13236
2023,Adana,Miray,Kadın,69,20,13236
2023,Adana,Alya,Kadın,68,21,13236
2023,Adana,Ada,Kadın,67,22,13236
2023,Adana,Yağmur,Kadın,65,23,13236
2023,Adana,Umay,Kadın,65,23,13236
2023,Adana,Derin,Kadın,62,24,13236
2023,Adana,Ela,Kadın,61,25,13236
2023,Adana,Arya,Kadın,60,26,13236
2023,Adana,Belinay,Kadın,58,27,13236
2023,Adana,Beren,Kadın,57,28,13236
2023,Adana,Ahsen,Kadın,55,29,13236
2023,Adana,Efnan,Kadın,55,29,13236
2023,Adana,Mira,Kadın,51,30,13236
2023,Adıyaman,Zeynep,Kadın,81,1,4237
2023,Adıyaman,Zümra,Kadın,76,2,4237
2023,Adıyaman,Defne,Kadın,62,3,4237
2023,Adıyaman,Asel,Kadın,55,4,4237
2023,Adıyaman,Elif,Kadın,54,5,4237
2023,Adıyaman,Asya,Kadın,47,6,4237
2023,Adıyaman,Meryem,Kadın,47,6,4237
2023,Adıyaman,Ecrin,Kadın,40,7,4237
2023,Adıyaman,İkra,Kadın,34,8,4237
2023,Adıyaman,Azra,Kadın,30,9,4237
2023,Adıyaman,Nehir,Kadın,30,9,4237
2023,Adıyaman,Efnan,Kadın,29,10,4237
2023,Adıyaman,Elisa,Kadın,29,10,4237
2023,Adıyaman,Eslem,Kadın,29,10,4237
2023,Adıyaman,Ayşe,Kadın,27,11,4237
2023,Adıyaman,Ebrar,Kadın,24,12,4237
2023,Adıyaman,Aysima,Kadın,23,13,4237
2023,Adıyaman,Ela,Kadın,21,14,4237
2023,Adıyaman,Hümeyra,Kadın,21,14,4237
2023,Adıyaman,Masal,Kadın,21,14,4237
2023,Adıyaman,Miray,Kadın,21,14,4237
2023,Adıyaman,Yüsra,Kadın,21,14,4237
2023,Adıyaman,Nisa,Kadın,20,15,4237
2023,Adıyaman,Elif Ada,Kadın,19,16,4237
2023,Adıyaman,Lina,Kadın,19,16,4237
2023,Adıyaman,Ahsen,Kadın,18,17,4237
2023,Adıyaman,Duru,Kadın,18,17,4237
2023,Adıyaman,Erva,Kadın,17,18,4237
2023,Adıyaman,Menesa,Kadın,17,18,4237
2023,Adıyaman,Mihra,Kadın,17,18,4237
2023,Adıyaman,Neva,Kadın,17,18,4237
2023,Adıyaman,Züleyha,Kadın,17,18,4237
2023,Adıyaman,Eylül,Kadın,16,19,4237
2023,Adıyaman,Asel Lina,Kadın,15,20,4237
2023,Adıyaman,Asmin,Kadın,15,20,4237
2023,Adıyaman,Beren,Kadın,15,20,4237
2023,Adıyaman,Damla,Kadın,15,20,4237
2023,Adıyaman,Zehra,Kadın,15,20,4237
2023,Adıyaman,Belinay,Kadın,14,21,4237
2023,Adıyaman,Cemre,Kadın,14,21,4237
2023,Adıyaman,Amine,Kadın,13,22,4237
2023,Adıyaman,Büşra,Kadın,13,22,4237
2023,Adıyaman,Esma,Kadın,13,22,4237
2023,Adıyaman,Gökçe,Kadın,13,22,4237
2023,Adıyaman,Hatice,Kadın,13,22,4237
2023,Adıyaman,Hiranur,Kadın,13,22,4237
2023,Adıyaman,Melisa,Kadın,13,22,4237
2023,Adıyaman,Merve,Kadın,13,22,4237
2023,Adıyaman,Öykü,Kadın,13,22,4237
2023,Adıyaman,Alya,Kadın,12,23,4237
2023,Adıyaman,Ece,Kadın,12,23,4237
2023,Adıyaman,Fatma,Kadın,12,23,4237
2023,Adıyaman,Fatma Zehra,Kadın,12,23,4237
2023,Adıyaman,Ada,Kadın,11,24,4237
2023,Adıyaman,Ayşegül,Kadın,11,24,4237
2023,Adıyaman,Doğa,Kadın,11,24,4237
2023,Adıyaman,Elizan,Kadın,11,24,4237
2023,Adıyaman,Hazal,Kadın,11,24,4237
2023,Adıyaman,Kumsal,Kadın,11,24,4237
2023,Adıyaman,Melek,Kadın,11,24,4237
2023,Adıyaman,Meva,Kadın,11,24,4237
2023,Adıyaman,Rabia,Kadın,11,24,4237
2023,Adıyaman,Yağmur,Kadın,11,24,4237
2023,Adıyaman,Zeynep Asel,Kadın,11,24,4237
2023,Adıyaman,İkra Nur,Kadın,11,24,4237
2023,Adıyaman,Leyla,Kadın,10,25,4237
2023,Adıyaman,Betül,Kadın,10,25,4237
2023,Adıyaman,Dila,Kadın,10,25,4237
2023,Adıyaman,Eliz,Kadın,10,25,4237
2023,Adıyaman,Evin,Kadın,10,25,4237
2023,Adıyaman,Hüma,Kadın,10,25,4237
2023,Adıyaman,Hilal,Kadın,10,25,4237
2023,Adıyaman,Ravza,Kadın,10,25,4237
2023,Adıyaman,Ömür,Kadın,10,25,4237
2023,Adıyaman,Aden,Kadın,9,26,4237
2023,Adıyaman,Berfin,Kadın,9,26,4237
2023,Adıyaman,Beyza,Kadın,9,26,4237
2023,Adıyaman,Buğlem,Kadın,9,26,4237
2023,Adıyaman,Esila,Kadın,9,26,4237
2023,Adıyaman,Gamze,Kadın,9,26,4237
2023,Adıyaman,Kübra,Kadın,9,26,4237
2023,Adıyaman,Melike,Kadın,9,26,4237
2023,Adıyaman,İnci,Kadın,9,26,4237
2023,Adıyaman,Arya,Kadın,8,27,4237
2023,Adıyaman,Asel Zümra,Kadın,8,27,4237
2023,Adıyaman,Ayşe Zümra,Kadın,8,27,4237
2023,Adıyaman,Deniz,Kadın,8,27,4237
2023,Adıyaman,Derin,Kadın,8,27,4237
2023,Adıyaman,Eda,Kadın,8,27,4237
2023,Adıyaman,Elanur,Kadın,8,27,4237
2023,Adıyaman,Elif Nur,Kadın,8,27,4237
2023,Adıyaman,Elif Sare,Kadın,8,27,4237
2023,Adıyaman,Elif Zümra,Kadın,8,27,4237
2023,Adıyaman,Fatma Zümra,Kadın,8,27,4237
2023,Adıyaman,Havin,Kadın,8,27,4237
2023,Adıyaman,Hira Nur,Kadın,8,27,4237
2023,Adıyaman,Seyran,Kadın,8,27,4237
2023,Adıyaman,Sümeyye,Kadın,8,27,4237
2023,Adıyaman,Zeliha,Kadın,8,27,4237
2023,Adıyaman,İkranur,Kadın,8,27,4237
2023,Adıyaman,Afra,Kadın,7,28,4237
