year,province,name,sex,count,rank,total_count
2023,Adana,Alparslan,Erkek,223,1,13732
2023,Adana,Yusuf,Erkek,191,2,13732
2023,Adana,Miraç,Erkek,136,3,13732
2023,Adana,Aslan,Erkek,133,4,13732
2023,Adana,Ömer Asaf,Erkek,128,5,13732
2023,Adana,Eymen,Erkek,121,6,13732
2023,Adana,Ömer,Erkek,121,6,13732
2023,Adana,Göktuğ,Erkek,115,7,13732
2023,Adana,Kerem,Erkek,108,8,13732
2023,Adana,Atlas,Erkek,105,9,13732
2023,Adana,Aras,Erkek,103,10,13732
2023,Adana,Mustafa,Erkek,102,11,13732
2023,Adana,Miran,Erkek,100,12,13732
2023,Adana,Ali Asaf,Erkek,96,13,13732
2023,Adana,Muhammed,Erkek,90,14,13732
2023,Adana,İbrahim,Erkek,89,15,13732
2023,Adana,Mehmet,Erkek,88,16,13732
2023,Adana,Ahmet,Erkek,86,17,13732
2023,Adana,Muhammed Ali,Erkek,86,17,13732
2023,Adana,Ali,Erkek,84,18,13732
2023,Adana,Umut,Erkek,82,19,13732
2023,Adana,Poyraz,Erkek,79,20,13732
2023,Adana,Ayaz,Erkek,78,21,13732
2023,Adana,Metehan,Erkek,73,22,13732
2023,Adana,Çınar,Erkek,72,23,13732
2023,Adana,Kuzey,Erkek,70,24,13732
2023,Adana,Deniz,Erkek,69,25,13732
2023,Adana,Yiğit,Erkek,69,25,13732
2023,Adana,Emir,Erkek,67,26,13732
2023,Adana,Hamza,Erkek,66,27,13732
2023,Adana,Yağız,Erkek,64,28,13732
2023,Adana,Berat,Erkek,61,29,13732
2023,Adana,Yunus Emre,Erkek,61,29,13732
2023,Adana,Mert,Erkek,60,30,13732
2023,Adana,Aybars,Erkek,60,30,13732
2023,Adıyaman,Ömer Asaf,Erkek,69,1,4355
2023,Adıyaman,Yusuf,Erkek,61,2,4355
2023,Adıyaman,Ömer,Erkek,56,3,4355
2023,Adıyaman,Alparslan,Erkek,46,4,4355
2023,Adıyaman,Ali Asaf,Erkek,45,5,4355
2023,Adıyaman,Muhammed Ali,Erkek,45,5,4355
2023,Adıyaman,Umut,Erkek,45,5,4355
2023,Adıyaman,Muhammed,Erkek,43,6,4355
2023,Adıyaman,Ahmet,Erkek,39,7,4355
2023,Adıyaman,Miraç,Erkek,35,8,4355
2023,Adıyaman,Ali,Erkek,34,9,4355
2023,Adıyaman,Mustafa,Erkek,33,10,4355
2023,Adıyaman,Mehmet,Erkek,32,11,4355
2023,Adıyaman,Eymen,Erkek,31,12,4355
2023,Adıyaman,Kerem,Erkek,31,12,4355
2023,Adıyaman,Miran,Erkek,29,13,4355
2023,Adıyaman,Kerem Ali,Erkek,28,14,4355
2023,Adıyaman,Hamza,Erkek,27,15,4355
