year,province,name,sex,count,rank,total_count
2024,Adana,Mehmet,Erkek,39825,1,1140836
2024,Adana,Mustafa,Erkek,30673,2,1140836
2024,Adana,Ahmet,Erkek,26533,3,1140836
2024,Adana,Ali,Erkek,24744,4,1140836
2024,Adana,Yusuf,Erkek,17266,5,1140836
2024,Adana,Hasan,Erkek,15345,6,1140836
2024,Adana,İbrahim,Erkek,15096,7,1140836
2024,Adana,Hüseyin,Erkek,14587,8,1140836
2024,Adana,Murat,Erkek,14211,9,1140836
2024,Adana,Ramazan,Erkek,11730,10,1140836
2024,Adana,Ömer,Erkek,11239,11,1140836
2024,Adana,İsmail,Erkek,11189,12,1140836
2024,Adana,Abdullah,Erkek,8348,13,1140836
2024,Adana,Osman,Erkek,8254,14,1140836
2024,Adana,Mahmut,Erkek,8056,15,1140836
2024,Adana,Halil,Erkek,7839,16,1140836
2024,Adana,Süleyman,Erkek,6894,17,1140836
2024,Adana,Hakan,Erkek,6217,18,1140836
2024,Adana,Fatih,Erkek,5901,19,1140836
2024,Adana,Cumali,Erkek,5747,20,1140836
2024,Adana,Emre,Erkek,5731,21,1140836
2024,Adana,Mehmet Ali,Erkek,5138,22,1140836
2024,Adana,Adem,Erkek,5039,23,1140836
2024,Adana,Kadir,Erkek,4966,24,1140836
2024,Adana,Gökhan,Erkek,4901,25,1140836
2024,Adana,Serkan,Erkek,4546,26,1140836
2024,Adana,Muhammed,Erkek,4479,27,1140836
2024,Adana,Kemal,Erkek,4436,28,1140836
2024,Adana,Salih,Erkek,4430,29,1140836
2024,Adana,Furkan,Erkek,4291,30,1140836
2024,Adıyaman,Mehmet,Erkek,16790,1,309540
2024,Adıyaman,Mustafa,Erkek,10277,2,309540
2024,Adıyaman,Ali,Erkek,6741,3,309540
2024,Adıyaman,Yusuf,Erkek,6626,4,309540
2024,Adıyaman,Ahmet,Erkek,6482,5,309540
2024,Adıyaman,Ramazan,Erkek,5727,6,309540
2024,Adıyaman,Hüseyin,Erkek,5664,7,309540
2024,Adıyaman,Hasan,Erkek,5416,8,309540
2024,Adıyaman,Mahmut,Erkek,4881,9,309540
2024,Adıyaman,Abuzer,Erkek,3847,10,309540
2024,Adıyaman,Ömer,Erkek,3733,11,309540
2024,Adıyaman,Osman,Erkek,3233,12,309540
2024,Adıyaman,İbrahim,Erkek,3166,13,309540
2024,Adıyaman,Abdullah,Erkek,3057,14,309540
2024,Adıyaman,Abdurrahman,Erkek,2878,15,309540
2024,Adıyaman,Murat,Erkek,2537,16,309540
2024,Adıyaman,Muhammed,Erkek,2510,17,309540
2024,Adıyaman,Memet,Erkek,2486,18,309540
2024,Adıyaman,İsmail,Erkek,2324,19,309540
2024,Adıyaman,Mehmet Ali,Erkek,1630,20,309540
2024,Adıyaman,Abdulkadir,Erkek,1497,21,309540
2024,Adıyaman,Kadir,Erkek,1496,22,309540
2024,Adıyaman,Yunus,Erkek,1363,23,309540
2024,Adıyaman,Aziz,Erkek,1314,24,309540
2024,Adıyaman,Halil,Erkek,1300,25,309540
2024,Adıyaman,Enes,Erkek,1281,26,309540
2024,Adıyaman,Yasin,Erkek,1273,27,309540
2024,Adıyaman,İbrahim Halil,Erkek,1243,28,309540
2024,Adıyaman,Furkan,Erkek,1241,29,309540
2024,Adıyaman,Ömer Faruk,Erkek,1210,30,309540
2024,Afyonkarahisar,Mehmet,Erkek,13893,1,375263
2024,Afyonkarahisar,Ahmet,Erkek,12485,2,375263
2024,Afyonkarahisar,Mustafa,Erkek,11806,3,375263
2024,Afyonkarahisar,Ali,Erkek,9362,4,375263
2024,Afyonkarahisar,İbrahim,Erkek,7863,5,375263
2024,Afyonkarahisar,Ramazan,Erkek,7693,6,375263
2024,Afyonkarahisar,Hüseyin,Erkek,6737,7,375263
2024,Afyonkarahisar,Hasan,Erkek,6663,8,375263
2024,Afyonkarahisar,İsmail,Erkek,6428,9,375263
2024,Afyonkarahisar,Osman,Erkek,4791,10,375263
2024,Afyonkarahisar,Yusuf,Erkek,4556,11,375263
2024,Afyonkarahisar,Murat,Erkek,4293,12,375263
2024,Afyonkarahisar,Ömer,Erkek,4063,13,375263
2024,Afyonkarahisar,Süleyman,Erkek,3987,14,375263
2024,Afyonkarahisar,Kadir,Erkek,3739,15,375263
2024,Afyonkarahisar,Halil,Erkek,3706,16,375263
2024,Afyonkarahisar,Mevlüt,Erkek,3703,17,375263
2024,Afyonkarahisar,Abdullah,Erkek,3555,18,375263
2024,Afyonkarahisar,Fatih,Erkek,2355,19,375263
2024,Afyonkarahisar,Recep,Erkek,2242,20,375263
2024,Afyonkarahisar,Bayram,Erkek,2202,21,375263
2024,Afyonkarahisar,Adem,Erkek,2111,22,375263
2024,Afyonkarahisar,Bekir,Erkek,1900,23,375263
2024,Afyonkarahisar,Yaşar,Erkek,1865,24,375263
2024,Afyonkarahisar,Mahmut,Erkek,1808,25,375263
2024,Afyonkarahisar,Emre,Erkek,1783,26,375263
2024,Afyonkarahisar,Halil İbrahim,Erkek,1756,27,375263
2024,Afyonkarahisar,Şükrü,Erkek,1696,28,375263
2024,Afyonkarahisar,Veli,Erkek,1649,29,375263
2024,Afyonkarahisar,Hasan Hüseyin,Erkek,1641,30,375263
2024,Ağrı,Mehmet,Erkek,6329,1,258828
2024,Ağrı,Yusuf,Erkek,5539,2,258828
2024,Ağrı,Ahmet,Erkek,4797,3,258828
2024,Ağrı,Muhammed,Erkek,4731,4,258828
2024,Ağrı,Ömer,Erkek,4274,5,258828
2024,Ağrı,Mustafa,Erkek,3694,6,258828
2024,Ağrı,İbrahim,Erkek,3180,7,258828
2024,Ağrı,Murat,Erkek,2926,8,258828
2024,Ağrı,Adem,Erkek,2843,9,258828
2024,Ağrı,Berat,Erkek,2406,10,258828
2024,Ağrı,Abdullah,Erkek,2205,11,258828
2024,Ağrı,Ali,Erkek,2001,12,258828
2024,Ağrı,Hasan,Erkek,1817,13,258828
2024,Ağrı,İsmail,Erkek,1786,14,258828
2024,Ağrı,Ramazan,Erkek,1747,15,258828
2024,Ağrı,Yunus,Erkek,1723,16,258828
2024,Ağrı,Miraç,Erkek,1685,17,258828
2024,Ağrı,Baran,Erkek,1630,18,258828
2024,Ağrı,Emrah,Erkek,1603,19,258828
2024,Ağrı,Hüseyin,Erkek,1600,20,258828
2024,Ağrı,Osman,Erkek,1534,21,258828
2024,Ağrı,Serhat,Erkek,1452,22,258828
2024,Ağrı,Yakup,Erkek,1450,23,258828
2024,Ağrı,Fırat,Erkek,1447,24,258828
2024,Ağrı,Yasin,Erkek,1444,25,258828
2024,Ağrı,Ferhat,Erkek,1422,26,258828
2024,Ağrı,Metin,Erkek,1365,27,258828
2024,Ağrı,Hakan,Erkek,1294,28,258828
2024,Ağrı,Samet,Erkek,1205,29,258828
2024,Ağrı,Muhammed Ali,Erkek,1182,30,258828
2024,Aksaray,Mustafa,Erkek,7116,1,219738
2024,Aksaray,Mehmet,Erkek,5626,2,219738
2024,Aksaray,Ramazan,Erkek,4775,3,219738
2024,Aksaray,Ahmet,Erkek,4591,4,219738
2024,Aksaray,Ali,Erkek,4294,5,219738
2024,Aksaray,Yusuf,Erkek,3033,6,219738
2024,Aksaray,İsmail,Erkek,2690,7,219738
2024,Aksaray,Murat,Erkek,2657,8,219738
2024,Aksaray,İbrahim,Erkek,2541,9,219738
2024,Aksaray,Hasan,Erkek,2439,10,219738
2024,Aksaray,Hüseyin,Erkek,2429,11,219738
2024,Aksaray,Ömer,Erkek,2200,12,219738
2024,Aksaray,Osman,Erkek,1709,13,219738
2024,Aksaray,Bayram,Erkek,1509,14,219738
2024,Aksaray,Abdullah,Erkek,1411,15,219738
2024,Aksaray,Recep,Erkek,1409,16,219738
2024,Aksaray,Yasin,Erkek,1404,17,219738
2024,Aksaray,Fatih,Erkek,1359,18,219738
2024,Aksaray,Yaşar,Erkek,1284,19,219738
2024,Aksaray,Adem,Erkek,1235,20,219738
2024,Aksaray,Emre,Erkek,1218,21,219738
2024,Aksaray,Muhammet,Erkek,1159,22,219738
2024,Aksaray,Süleyman,Erkek,1149,23,219738
2024,Aksaray,Kadir,Erkek,1113,24,219738
2024,Aksaray,Mahmut,Erkek,1079,25,219738
2024,Aksaray,Muhammed,Erkek,1037,26,219738
2024,Aksaray,Hakan,Erkek,952,27,219738
2024,Aksaray,Hasan Hüseyin,Erkek,931,28,219738
2024,Aksaray,Yunus Emre,Erkek,909,29,219738
2024,Aksaray,Enes,Erkek,903,30,219738
2024,Amasya,Mustafa,Erkek,5635,1,171766
2024,Amasya,Mehmet,Erkek,4662,2,171766
2024,Amasya,Ahmet,Erkek,4135,3,171766
2024,Amasya,Ali,Erkek,3250,4,171766
2024,Amasya,Hüseyin,Erkek,2909,5,171766
2024,Amasya,Murat,Erkek,2468,6,171766
2024,Amasya,Hasan,Erkek,2325,7,171766
2024,Amasya,Osman,Erkek,1748,8,171766
2024,Amasya,İbrahim,Erkek,1710,9,171766
2024,Amasya,İsmail,Erkek,1686,10,171766
2024,Amasya,Ömer,Erkek,1684,11,171766
2024,Amasya,Yusuf,Erkek,1592,12,171766
2024,Amasya,Fatih,Erkek,1293,13,171766
2024,Amasya,Abdullah,Erkek,1173,14,171766
2024,Amasya,Emre,Erkek,1147,15,171766
2024,Amasya,Recep,Erkek,1036,16,171766
2024,Amasya,Halil,Erkek,1003,17,171766
2024,Amasya,Kadir,Erkek,961,18,171766
2024,Amasya,Dursun,Erkek,956,19,171766
2024,Amasya,Kemal,Erkek,813,20,171766
2024,Amasya,Salih,Erkek,811,21,171766
2024,Amasya,Furkan,Erkek,795,22,171766
2024,Amasya,Hakan,Erkek,795,22,171766
2024,Amasya,Adem,Erkek,781,23,171766
2024,Amasya,Burak,Erkek,768,24,171766
2024,Amasya,Sadık,Erkek,759,25,171766
2024,Amasya,Muharrem,Erkek,758,26,171766
2024,Amasya,Süleyman,Erkek,711,27,171766
2024,Amasya,Arif,Erkek,690,28,171766
2024,Amasya,Ramazan,Erkek,686,29,171766
2024,Amasya,Serkan,Erkek,661,30,171766
2024,Ankara,Mustafa,Erkek,66078,1,2888062
2024,Ankara,Mehmet,Erkek,60946,2,2888062
2024,Ankara,Ahmet,Erkek,47694,3,2888062
2024,Ankara,Ali,Erkek,43655,4,2888062
2024,Ankara,Murat,Erkek,42020,5,2888062
2024,Ankara,Hüseyin,Erkek,33346,6,2888062
2024,Ankara,Hasan,Erkek,29899,7,2888062
2024,Ankara,Yusuf,Erkek,28721,8,2888062
2024,Ankara,İbrahim,Erkek,27166,9,2888062
2024,Ankara,Ömer,Erkek,26091,10,2888062
2024,Ankara,İsmail,Erkek,25811,11,2888062
2024,Ankara,Osman,Erkek,20995,12,2888062
2024,Ankara,Emre,Erkek,20615,13,2888062
2024,Ankara,Fatih,Erkek,20031,14,2888062
2024,Ankara,Ramazan,Erkek,18906,15,2888062
2024,Ankara,Hakan,Erkek,17262,16,2888062
2024,Ankara,Burak,Erkek,16279,17,2888062
2024,Ankara,Yasin,Erkek,15045,18,2888062
2024,Ankara,Abdullah,Erkek,14679,19,2888062
2024,Ankara,Furkan,Erkek,13833,20,2888062
2024,Ankara,Serkan,Erkek,13216,21,2888062
2024,Ankara,Adem,Erkek,12431,22,2888062
2024,Ankara,Gökhan,Erkek,12353,23,2888062
2024,Ankara,Kadir,Erkek,11988,24,2888062
2024,Ankara,Uğur,Erkek,11848,25,2888062
2024,Ankara,Mert,Erkek,11206,26,2888062
2024,Ankara,Halil,Erkek,10925,27,2888062
2024,Ankara,Kemal,Erkek,10846,28,2888062
2024,Ankara,Metin,Erkek,10809,29,2888062
2024,Ankara,Onur,Erkek,10622,30,2888062
2024,Antalya,Mehmet,Erkek,49435,1,1370170
2024,Antalya,Mustafa,Erkek,41601,2,1370170
2024,Antalya,Ali,Erkek,31756,3,1370170
2024,Antalya,Ahmet,Erkek,28630,4,1370170
2024,Antalya,Hüseyin,Erkek,23510,5,1370170
2024,Antalya,Hasan,Erkek,21477,6,1370170
2024,Antalya,Ramazan,Erkek,19884,7,1370170
2024,Antalya,İbrahim,Erkek,17007,8,1370170
2024,Antalya,Murat,Erkek,15922,9,1370170
2024,Antalya,Yusuf,Erkek,14218,10,1370170
2024,Antalya,Osman,Erkek,13041,11,1370170
2024,Antalya,İsmail,Erkek,12841,12,1370170
2024,Antalya,Süleyman,Erkek,11767,13,1370170
2024,Antalya,Ömer,Erkek,11490,14,1370170
2024,Antalya,Abdullah,Erkek,8617,15,1370170
2024,Antalya,Halil,Erkek,8182,16,1370170
2024,Antalya,Emre,Erkek,7478,17,1370170
2024,Antalya,Fatih,Erkek,7336,18,1370170
2024,Antalya,Hakan,Erkek,7293,19,1370170
2024,Antalya,Adem,Erkek,6468,20,1370170
2024,Antalya,Mehmet Ali,Erkek,6278,21,1370170
2024,Antalya,Bayram,Erkek,5965,22,1370170
2024,Antalya,Kadir,Erkek,5812,23,1370170
2024,Antalya,Kemal,Erkek,5788,24,1370170
2024,Antalya,Salih,Erkek,5681,25,1370170
2024,Antalya,Burak,Erkek,5628,26,1370170
2024,Antalya,Gökhan,Erkek,5275,27,1370170
2024,Antalya,Serkan,Erkek,5254,28,1370170
2024,Antalya,Mahmut,Erkek,5043,29,1370170
2024,Antalya,Uğur,Erkek,4967,30,1370170
2024,Ardahan,Murat,Erkek,576,1,47597
2024,Ardahan,Yusuf,Erkek,514,2,47597
2024,Ardahan,Mustafa,Erkek,463,3,47597
2024,Ardahan,Ahmet,Erkek,457,4,47597
2024,Ardahan,Mehmet,Erkek,451,5,47597
2024,Ardahan,İbrahim,Erkek,420,6,47597
2024,Ardahan,Ömer,Erkek,381,7,47597
2024,Ardahan,Ali,Erkek,371,8,47597
2024,Ardahan,İsmail,Erkek,339,9,47597
2024,Ardahan,Emrah,Erkek,264,10,47597
2024,Ardahan,Hüseyin,Erkek,262,11,47597
2024,Ardahan,Adem,Erkek,258,12,47597
2024,Ardahan,Kadir,Erkek,250,13,47597
2024,Ardahan,Onur,Erkek,235,14,47597
2024,Ardahan,Hakan,Erkek,233,15,47597
2024,Ardahan,Serkan,Erkek,231,16,47597
2024,Ardahan,Fırat,Erkek,225,17,47597
