year,province,name,count,rank,total_count
2023,Adana,Yılmaz,26091,1,2270298
2023,Adana,Kaya,23543,2,2270298
2023,Adana,Demir,22376,3,2270298
2023,Adana,Çelik,18170,4,2270298
2023,Adana,Yıldırım,17022,5,2270298
2023,Adana,Şahin,16927,6,2270298
2023,Adana,Yıldız,15782,7,2270298
2023,Adana,Doğan,15222,8,2270298
2023,Adana,Özdemir,14939,9,2270298
2023,Adana,Aydın,12100,10,2270298
2023,Adana,Aslan,11762,11,2270298
2023,Adana,Arslan,10173,12,2270298
2023,Adana,Kılıç,10132,13,2270298
2023,Adana,Kara,9718,14,2270298
2023,Adana,Öztürk,9445,15,2270298
2023,Adana,Kurt,8941,16,2270298
2023,Adana,Çetin,8762,17,2270298
2023,Adana,Şimşek,8447,18,2270298
2023,Adana,Bulut,7226,19,2270298
2023,Adana,Can,7111,20,2270298
2023,Adana,Yavuz,6819,21,2270298
2023,Adana,Taş,6725,22,2270298
2023,Adana,Gül,6668,23,2270298
2023,Adana,Avcı,6664,24,2270298
2023,Adana,Gök,6536,25,2270298
2023,Adana,Erdoğan,6492,26,2270298
2023,Adana,Polat,6379,27,2270298
2023,Adana,Kaplan,6359,28,2270298
2023,Adana,Bozkurt,6252,29,2270298
2023,Adana,Ünal,6112,30,2270298
2023,Adıyaman,Doğan,8460,1,604978
2023,Adıyaman,Demir,8122,2,604978
2023,Adıyaman,Şahin,7954,3,604978
2023,Adıyaman,Kaya,7837,4,604978
2023,Adıyaman,Arslan,7213,5,604978
2023,Adıyaman,Yılmaz,6834,6,604978
2023,Adıyaman,Yıldırım,6793,7,604978
2023,Adıyaman,Çelik,6357,8,604978
2023,Adıyaman,Aslan,5595,9,604978
2023,Adıyaman,Polat,4590,10,604978
2023,Adıyaman,Özdemir,4077,11,604978
2023,Adıyaman,Öztürk,3873,12,604978
2023,Adıyaman,Yıldız,3809,13,604978
2023,Adıyaman,Kılınç,3784,14,604978
2023,Adıyaman,Korkmaz,3681,15,604978
2023,Adıyaman,Aydın,3600,16,604978
2023,Adıyaman,Çetin,3567,17,604978
2023,Adıyaman,Karakuş,3459,18,604978
2023,Adıyaman,Turan,3410,19,604978
2023,Adıyaman,Fırat,3207,20,604978
2023,Adıyaman,Bozkurt,2917,21,604978
2023,Adıyaman,Coşkun,2735,22,604978
2023,Adıyaman,Özer,2679,23,604978
2023,Adıyaman,Avcı,2606,24,604978
2023,Adıyaman,Deniz,2453,25,604978
2023,Adıyaman,Yalçın,2406,26,604978
2023,Adıyaman,Kara,2361,27,604978
2023,Adıyaman,Çoban,2264,28,604978
2023,Adıyaman,Bozan,2232,29,604978
2023,Adıyaman,Gürbüz,2216,30,604978
2023,Afyonkarahisar,Yılmaz,9983,1,751344
2023,Afyonkarahisar,Çelik,8858,2,751344
2023,Afyonkarahisar,Yıldırım,7123,3,751344
2023,Afyonkarahisar,Özdemir,6839,4,751344
2023,Afyonkarahisar,Demir,6498,5,751344
2023,Afyonkarahisar,Öztürk,6047,6,751344
2023,Afyonkarahisar,Çetin,5214,7,751344
2023,Afyonkarahisar,Şahin,5148,8,751344
2023,Afyonkarahisar,Yıldız,4654,9,751344
2023,Afyonkarahisar,Kaya,4638,10,751344
2023,Afyonkarahisar,Arslan,4271,11,751344
2023,Afyonkarahisar,Koç,4084,12,751344
2023,Afyonkarahisar,Doğan,3686,13,751344
2023,Afyonkarahisar,Aydın,3578,14,751344
2023,Afyonkarahisar,Yavuz,3488,15,751344
2023,Afyonkarahisar,Uysal,3190,16,751344
2023,Afyonkarahisar,Şen,3171,17,751344
2023,Afyonkarahisar,Karakaya,2911,18,751344
2023,Afyonkarahisar,Özkan,2879,19,751344
2023,Afyonkarahisar,Çınar,2831,20,751344
2023,Afyonkarahisar,Keskin,2825,21,751344
2023,Afyonkarahisar,Özcan,2782,22,751344
2023,Afyonkarahisar,Çakır,2754,23,751344
2023,Afyonkarahisar,Çetinkaya,2712,24,751344
2023,Afyonkarahisar,Ceylan,2631,25,751344
2023,Afyonkarahisar,Acar,2542,26,751344
2023,Afyonkarahisar,Öz,2517,27,751344
2023,Afyonkarahisar,Kaplan,2452,28,751344
2023,Afyonkarahisar,Şimşek,2433,29,751344
2023,Afyonkarahisar,Korkmaz,2348,30,751344
2023,Ağrı,Kaya,15970,1,511238
