age,sex,Okuma yazma bilmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,İlkokul,İlköğretim,Ortaokul veya dengi okul,Lise veya dengi okul,Yüksekokul veya fakülte,Yüksek lisans,Doktora,Bilinmeyen,province,district
18-24,Erkek,0,1,1,0,92,557,132,0,0,10,Adana,Aladağ
18-24,Kadın,0,2,1,0,102,491,169,0,0,0,Adana,Aladağ
25-29,Erkek,0,1,2,0,92,226,220,12,0,2,Adana,Aladağ
25-29,Kadın,0,0,6,4,139,117,182,9,0,1,Adana,Aladağ
30-34,Erkek,0,0,1,50,62,207,148,22,0,1,Adana,Aladağ
30-34,Kadın,1,6,3,106,54,139,104,13,0,0,Adana,Aladağ
35-39,Erkek,2,0,15,121,61,241,93,17,0,0,Adana,Aladağ
35-39,Kadın,3,3,70,112,68,105,39,4,0,0,Adana,Aladağ
40-44,Erkek,1,2,35,136,119,254,59,10,0,2,Adana,Aladağ
40-44,Kadın,2,2,105,88,132,111,19,3,0,0,Adana,Aladağ
45-49,Erkek,0,2,47,153,134,155,47,7,0,0,Adana,Aladağ
45-49,Kadın,1,3,141,103,137,110,10,0,1,1,Adana,Aladağ
50-54,Erkek,0,2,54,175,125,136,30,3,1,0,Adana,Aladağ
50-54,Kadın,13,17,152,111,109,56,6,0,3,0,Adana,Aladağ
55-59,Erkek,2,1,105,178,118,99,22,4,0,0,Adana,Aladağ
55-59,Kadın,14,33,220,83,97,53,2,0,2,1,Adana,Aladağ
60-64,Erkek,1,1,186,154,107,67,19,1,1,2,Adana,Aladağ
60-64,Kadın,44,61,252,67,44,50,1,0,0,2,Adana,Aladağ
65-69,Erkek,1,8,208,96,82,50,10,0,1,0,Adana,Aladağ
65-69,Kadın,59,141,191,31,27,28,1,0,0,2,Adana,Aladağ
70-74,Erkek,9,25,197,31,34,21,6,0,0,0,Adana,Aladağ
70-74,Kadın,97,119,101,5,5,9,1,0,0,2,Adana,Aladağ
75+,Erkek,28,122,243,8,20,12,4,0,0,1,Adana,Aladağ
75+,Kadın,406,141,75,1,5,3,0,0,0,2,Adana,Aladağ
18-24,Erkek,2,53,67,5,2.338,5.189,829,2,0,62,Adana,Ceyhan
18-24,Kadın,2,77,87,1,1.872,5.03,1.298,14,0,24,Adana,Ceyhan
25-29,Erkek,8,58,85,77,1.346,1.802,1.995,100,0,17,Adana,Ceyhan
25-29,Kadın,45,171,188,104,1.172,1.271,2.19,125,0,19,Adana,Ceyhan
30-34,Erkek,12,103,93,735,689,1.72,1.685,139,2,20,Adana,Ceyhan
30-34,Kadın,124,377,215,900,534,1.45,1.53,131,1,42,Adana,Ceyhan
35-39,Erkek,20,84,303,855,459,2.107,1.343,166,6,25,Adana,Ceyhan
35-39,Kadın,132,316,797,680,452,1.813,1.008,127,0,32,Adana,Ceyhan
40-44,Erkek,22,93,642,633,914,2.134,911,135,5,38,Adana,Ceyhan
40-44,Kadın,116,280,1.239,339,763,1.752,686,101,7,22,Adana,Ceyhan
45-49,Erkek,9,54,658,563,774,1.765,730,71,5,32,Adana,Ceyhan
45-49,Kadın,93,201,1.327,384,732,1.437,440,31,4,23,Adana,Ceyhan
50-54,Erkek,19,64,777,655,842,1.449,491,47,6,37,Adana,Ceyhan
50-54,Kadın,123,287,1.373,345,804,1.252,247,27,6,30,Adana,Ceyhan
55-59,Erkek,22,79,968,665,885,1.433,431,33,9,37,Adana,Ceyhan
55-59,Kadın,161,307,1.75,294,668,1.112,168,21,7,42,Adana,Ceyhan
60-64,Erkek,31,96,1.236,472,678,1.259,271,24,2,41,Adana,Ceyhan
60-64,Kadın,236,364,1.957,186,442,886,107,11,7,36,Adana,Ceyhan
65-69,Erkek,52,160,1.472,231,452,718,271,19,1,42,Adana,Ceyhan
65-69,Kadın,337,477,1.727,79,311,392,92,6,0,43,Adana,Ceyhan
70-74,Erkek,44,134,1.129,79,237,288,120,9,1,24,Adana,Ceyhan
70-74,Kadın,418,515,1.143,24,158,174,50,1,2,22,Adana,Ceyhan
75+,Erkek,130,337,1.239,25,174,160,108,5,0,22,Adana,Ceyhan
75+,Kadın,1.168,1,1.109,8,80,87,25,0,1,18,Adana,Ceyhan
18-24,Erkek,0,34,16,0,1.975,13.214,2.593,45,0,107,Adana,Çukurova
18-24,Kadın,2,36,21,0,1.537,12.755,3.547,67,0,56,Adana,Çukurova
25-29,Erkek,5,12,24,30,1.055,3.356,6.473,720,0,64,Adana,Çukurova
25-29,Kadın,4,48,91,42,960,2.605,7.694,1.031,0,57,Adana,Çukurova
30-34,Erkek,6,31,27,484,726,2.955,6.027,1.074,28,53,Adana,Çukurova
30-34,Kadın,22,113,145,783,610,3.007,7.488,1.198,40,85,Adana,Çukurova
35-39,Erkek,14,34,270,649,677,3.919,6.059,1.138,101,72,Adana,Çukurova
35-39,Kadın,20,90,939,856,833,4.704,6.917,1.267,121,106,Adana,Çukurova
40-44,Erkek,12,25,603,631,1.183,5.002,5.817,1.414,178,81,Adana,Çukurova
40-44,Kadın,33,85,1.659,724,1.458,5.845,6.473,1.474,179,82,Adana,Çukurova
45-49,Erkek,12,12,757,879,1.29,4.401,5.4,1.056,240,81,Adana,Çukurova
45-49,Kadın,37,103,2.093,854,1.614,5.495,5.421,782,197,98,Adana,Çukurova
50-54,Erkek,9,18,864,1.039,1.4,3.68,4.488,759,212,110,Adana,Çukurova
50-54,Kadın,34,138,2.513,834,1.746,4.46,3.546,509,158,111,Adana,Çukurova
55-59,Erkek,3,23,1.054,941,1.401,3.619,3.358,616,182,119,Adana,Çukurova
55-59,Kadın,96,214,3.081,671,1.566,3.909,2.402,301,74,105,Adana,Çukurova
60-64,Erkek,15,34,1.536,614,1.103,3.673,2.515,272,99,125,Adana,Çukurova
60-64,Kadın,180,319,3.526,426,1.21,3.3,1.465,123,41,146,Adana,Çukurova
65-69,Erkek,25,66,1.935,301,876,2.39,2.148,162,53,134,Adana,Çukurova
65-69,Kadın,300,404,3.444,185,983,1.97,1.27,59,19,129,Adana,Çukurova
70-74,Erkek,22,68,1.681,93,583,1.34,1.481,90,32,92,Adana,Çukurova
70-74,Kadın,355,421,2.534,59,581,1.052,855,33,7,121,Adana,Çukurova
75+,Erkek,80,158,1.619,45,476,776,1.203,47,28,120,Adana,Çukurova
75+,Kadın,1.062,853,2.507,33,444,615,476,16,2,127,Adana,Çukurova
18-24,Erkek,0,2,1,0,204,516,119,0,0,9,Adana,Feke
18-24,Kadın,0,1,1,0,137,509,142,1,0,4,Adana,Feke
25-29,Erkek,0,3,2,7,147,180,181,6,0,1,Adana,Feke
25-29,Kadın,0,6,5,5,116,102,158,9,0,2,Adana,Feke
30-34,Erkek,1,5,2,109,71,181,119,18,0,0,Adana,Feke
30-34,Kadın,1,6,5,95,49,64,79,9,1,1,Adana,Feke
35-39,Erkek,5,6,53,128,51,147,77,9,0,0,Adana,Feke
35-39,Kadın,1,4,94,114,30,73,37,6,0,2,Adana,Feke
40-44,Erkek,2,6,85,98,120,174,49,10,0,2,Adana,Feke
40-44,Kadın,3,2,168,78,63,68,19,1,0,1,Adana,Feke
45-49,Erkek,4,2,130,124,115,128,27,2,1,1,Adana,Feke
45-49,Kadın,3,3,217,83,66,58,12,0,1,5,Adana,Feke
50-54,Erkek,2,2,170,173,168,109,27,3,2,3,Adana,Feke
50-54,Kadın,10,9,331,104,85,52,7,3,2,8,Adana,Feke
55-59,Erkek,2,4,179,141,123,98,35,2,2,10,Adana,Feke
55-59,Kadın,7,21,338,68,64,41,7,0,1,7,Adana,Feke
60-64,Erkek,1,6,256,82,107,103,22,0,2,11,Adana,Feke
60-64,Kadın,16,83,341,54,34,30,3,0,2,7,Adana,Feke
65-69,Erkek,4,11,302,54,76,61,29,0,0,1,Adana,Feke
65-69,Kadın,45,155,238,12,28,9,5,2,0,5,Adana,Feke
70-74,Erkek,4,37,215,11,43,33,17,0,0,5,Adana,Feke
70-74,Kadın,65,160,143,6,6,7,3,0,0,3,Adana,Feke
75+,Erkek,49,162,281,6,24,17,10,1,0,3,Adana,Feke
75+,Kadın,277,298,116,0,5,1,0,0,0,3,Adana,Feke
18-24,Erkek,0,6,4,0,356,1.016,170,0,0,11,Adana,İmamoğlu
18-24,Kadın,0,6,5,0,281,1.017,272,0,0,0,Adana,İmamoğlu
25-29,Erkek,1,9,6,4,298,264,279,11,0,2,Adana,İmamoğlu
25-29,Kadın,3,14,12,6,221,198,322,21,0,2,Adana,İmamoğlu
30-34,Erkek,4,15,5,158,134,259,176,19,0,1,Adana,İmamoğlu
30-34,Kadın,8,24,12,170,92,205,179,18,0,3,Adana,İmamoğlu
35-39,Erkek,3,12,89,158,104,309,134,10,1,2,Adana,İmamoğlu
35-39,Kadın,5,19,204,139,102,200,97,14,0,2,Adana,İmamoğlu
40-44,Erkek,1,4,181,105,247,336,95,20,1,3,Adana,İmamoğlu
40-44,Kadın,4,20,294,106,161,210,58,7,0,2,Adana,İmamoğlu
45-49,Erkek,5,9,210,129,199,260,73,4,1,1,Adana,İmamoğlu
45-49,Kadın,6,21,350,132,156,155,37,2,1,4,Adana,İmamoğlu
50-54,Erkek,5,4,268,175,225,225,42,4,1,3,Adana,İmamoğlu
50-54,Kadın,14,27,414,160,149,109,16,1,0,5,Adana,İmamoğlu
55-59,Erkek,2,13,297,153,194,202,54,2,0,5,Adana,İmamoğlu
55-59,Kadın,15,57,509,109,130,108,13,0,0,2,Adana,İmamoğlu
60-64,Erkek,3,7,351,107,154,147,44,0,3,1,Adana,İmamoğlu
60-64,Kadın,28,122,499,58,54,61,6,0,0,5,Adana,İmamoğlu
65-69,Erkek,2,17,347,45,65,92,22,2,0,3,Adana,İmamoğlu
65-69,Kadın,57,172,335,16,37,18,1,0,1,3,Adana,İmamoğlu
70-74,Erkek,8,38,279,9,48,31,15,1,0,4,Adana,İmamoğlu
70-74,Kadın,66,202,191,4,22,6,0,0,0,5,Adana,İmamoğlu
75+,Erkek,18,102,291,9,28,13,6,0,0,1,Adana,İmamoğlu
75+,Kadın,184,364,140,1,4,8,2,0,0,1,Adana,İmamoğlu
18-24,Erkek,0,2,0,0,322,780,149,0,0,6,Adana,Karaisalı
18-24,Kadın,0,2,1,0,221,694,228,0,0,1,Adana,Karaisalı
25-29,Erkek,1,1,4,3,211,269,256,13,0,5,Adana,Karaisalı
25-29,Kadın,1,3,6,9,156,197,263,16,0,1,Adana,Karaisalı
30-34,Erkek,0,3,3,116,104,272,173,19,0,3,Adana,Karaisalı
30-34,Kadın,2,7,7,132,71,110,156,15,0,0,Adana,Karaisalı
35-39,Erkek,0,4,62,166,72,251,163,19,0,2,Adana,Karaisalı
35-39,Kadın,3,10,167,110,53,102,72,11,0,1,Adana,Karaisalı
40-44,Erkek,3,3,124,143,140,200,94,19,0,1,Adana,Karaisalı
40-44,Kadın,5,6,296,79,92,97,55,6,0,1,Adana,Karaisalı
45-49,Erkek,3,3,167,163,123,167,70,15,1,0,Adana,Karaisalı
45-49,Kadın,10,5,448,102,85,83,26,5,0,0,Adana,Karaisalı
50-54,Erkek,5,2,213,232,127,155,54,1,2,3,Adana,Karaisalı
50-54,Kadın,13,24,493,73,91,56,16,0,2,3,Adana,Karaisalı
55-59,Erkek,6,7,286,163,136,102,47,4,0,3,Adana,Karaisalı
55-59,Kadın,36,54,531,55,52,36,11,0,0,1,Adana,Karaisalı
60-64,Erkek,6,4,367,101,102,96,23,1,1,3,Adana,Karaisalı
60-64,Kadın,69,97,484,40,37,27,1,0,0,1,Adana,Karaisalı
65-69,Erkek,7,15,375,43,51,64,20,2,1,2,Adana,Karaisalı
65-69,Kadın,135,134,335,13,18,14,5,1,0,1,Adana,Karaisalı
70-74,Erkek,17,36,291,19,41,38,15,1,0,0,Adana,Karaisalı
70-74,Kadın,204,72,154,2,12,9,1,0,0,1,Adana,Karaisalı
75+,Erkek,77,155,319,5,25,27,15,1,0,2,Adana,Karaisalı
75+,Kadın,599,114,133,1,4,3,1,0,0,5,Adana,Karaisalı
18-24,Erkek,0,10,23,1,395,655,95,1,0,19,Adana,Karataş
18-24,Kadın,0,21,24,0,308,614,132,2,0,7,Adana,Karataş
25-29,Erkek,2,11,9,6,296,252,216,11,0,4,Adana,Karataş
25-29,Kadın,9,37,32,16,201,222,220,19,0,6,Adana,Karataş
30-34,Erkek,2,30,15,205,112,224,172,17,0,7,Adana,Karataş
30-34,Kadın,26,48,14,150,47,175,159,16,0,10,Adana,Karataş
35-39,Erkek,1,28,116,146,83,253,150,22,2,8,Adana,Karataş
35-39,Kadın,18,31,136,91,39,216,88,17,1,8,Adana,Karataş
40-44,Erkek,10,11,193,100,138,241,96,17,1,6,Adana,Karataş
40-44,Kadın,21,33,253,62,109,169,74,4,0,12,Adana,Karataş
45-49,Erkek,2,14,222,97,152,216,80,8,2,7,Adana,Karataş
45-49,Kadın,14,24,275,66,117,158,49,4,1,5,Adana,Karataş
50-54,Erkek,5,9,263,124,132,152,60,8,1,3,Adana,Karataş
50-54,Kadın,21,27,312,70,113,112,23,5,1,7,Adana,Karataş
55-59,Erkek,6,11,245,86,140,205,43,7,1,10,Adana,Karataş
55-59,Kadın,33,25,346,60,77,108,25,3,0,9,Adana,Karataş
60-64,Erkek,5,16,341,81,101,161,32,4,0,18,Adana,Karataş
60-64,Kadın,51,47,347,37,61,66,10,0,0,8,Adana,Karataş
65-69,Erkek,8,11,340,42,81,87,43,1,0,18,Adana,Karataş
65-69,Kadın,91,50,310,17,43,41,10,0,0,7,Adana,Karataş
70-74,Erkek,5,19,235,15,39,51,20,0,0,5,Adana,Karataş
70-74,Kadın,99,63,196,3,16,10,5,0,0,9,Adana,Karataş
75+,Erkek,18,37,247,7,22,22,23,0,0,6,Adana,Karataş
75+,Kadın,236,131,158,2,11,5,11,0,0,10,Adana,Karataş
18-24,Erkek,1,20,32,1,1.665,4.579,876,4,0,50,Adana,Kozan
18-24,Kadın,1,37,38,2,1.184,4.51,1.331,12,0,9,Adana,Kozan
25-29,Erkek,4,21,22,27,1.072,1.37,1.457,116,0,11,Adana,Kozan
25-29,Kadın,16,29,68,46,824,998,1.925,134,0,10,Adana,Kozan
30-34,Erkek,4,21,11,533,432,1.175,1.283,150,1,14,Adana,Kozan
30-34,Kadın,20,74,57,810,389,1.073,1.315,134,2,7,Adana,Kozan
35-39,Erkek,10,23,337,711,390,1.557,1.092,174,5,7,Adana,Kozan
35-39,Kadın,24,45,825,693,390,1.299,1.043,106,4,8,Adana,Kozan
40-44,Erkek,11,20,605,571,797,1.757,981,167,6,20,Adana,Kozan
40-44,Kadın,36,33,1.269,511,641,1.375,794,92,2,11,Adana,Kozan
45-49,Erkek,26,12,709,654,802,1.566,834,99,6,9,Adana,Kozan
45-49,Kadın,35,52,1.603,627,655,1.168,534,32,10,15,Adana,Kozan
50-54,Erkek,13,20,882,779,944,1.15,623,63,9,11,Adana,Kozan
50-54,Kadın,44,77,1.89,618,703,861,294,35,4,13,Adana,Kozan
55-59,Erkek,10,26,1.079,669,866,1.023,436,38,7,18,Adana,Kozan
55-59,Kadın,81,159,2.02,427,556,663,194,17,4,10,Adana,Kozan
60-64,Erkek,19,36,1.3,410,551,868,303,13,3,17,Adana,Kozan
60-64,Kadın,210,348,1.817,207,274,465,99,5,1,14,Adana,Kozan
65-69,Erkek,21,81,1.259,168,387,484,299,13,5,15,Adana,Kozan
65-69,Kadın,386,564,1.226,89,174,209,89,0,0,13,Adana,Kozan
70-74,Erkek,42,115,1.011,55,256,244,160,6,0,12,Adana,Kozan
70-74,Kadın,601,574,725,19,90,112,65,1,1,16,Adana,Kozan
75+,Erkek,168,467,1.18,15,157,108,159,3,0,12,Adana,Kozan
75+,Kadın,1.663,913,617,11,36,40,70,0,0,12,Adana,Kozan
18-24,Erkek,0,1,2,1,179,584,112,0,0,9,Adana,Pozantı
18-24,Kadın,0,2,1,0,130,562,138,2,0,1,Adana,Pozantı
25-29,Erkek,0,0,3,0,139,245,266,14,0,1,Adana,Pozantı
25-29,Kadın,0,7,5,3,131,178,262,19,1,1,Adana,Pozantı
30-34,Erkek,0,1,2,73,104,236,238,30,1,1,Adana,Pozantı
30-34,Kadın,1,5,5,131,57,187,208,22,0,0,Adana,Pozantı
35-39,Erkek,0,4,34,93,66,290,187,28,0,1,Adana,Pozantı
35-39,Kadın,1,1,103,114,66,177,112,11,5,4,Adana,Pozantı
40-44,Erkek,2,1,79,64,101,298,105,21,1,1,Adana,Pozantı
40-44,Kadın,2,7,191,67,95,129,54,5,1,0,Adana,Pozantı
45-49,Erkek,2,1,96,112,120,204,73,6,1,2,Adana,Pozantı
45-49,Kadın,4,10,256,90,101,107,22,2,1,0,Adana,Pozantı
50-54,Erkek,0,1,153,154,120,164,50,3,1,2,Adana,Pozantı
50-54,Kadın,10,10,343,97,102,73,18,3,3,1,Adana,Pozantı
55-59,Erkek,0,1,207,139,160,143,39,4,2,1,Adana,Pozantı
55-59,Kadın,10,23,388,80,68,63,15,4,1,0,Adana,Pozantı
60-64,Erkek,1,8,295,92,95,135,41,5,0,3,Adana,Pozantı
60-64,Kadın,27,43,414,49,40,62,10,0,0,3,Adana,Pozantı
65-69,Erkek,3,7,269,35,71,106,34,2,1,2,Adana,Pozantı
65-69,Kadın,33,48,415,12,37,28,16,0,0,6,Adana,Pozantı
70-74,Erkek,1,20,261,16,48,74,31,1,0,2,Adana,Pozantı
70-74,Kadın,64,99,278,2,14,17,4,1,1,3,Adana,Pozantı
