Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.34214727821936997,1.1102230246251565e-16,1.3111984597350028,4.440892098500626e-16,1.0,0.0,0.65,-1546300.3523145616,0.0,-1554391.1960082,2.3283064365386963e-10
3,0.1928789696802831,2.7755575615628914e-17,1.6308742948093025,3.6888820278049625e-16,1.0,0.0,0.36790123456790125,-1549236.5355824307,6.984919309616089e-10,-1561373.9983474654,4.656612873077393e-10
4,0.18147685424350268,0.0004432310470863628,1.5819315985317615,0.004298372532954639,0.9938548957614235,0.018861619052613233,0.2616358024691358,-1548550.3375484508,3.3396349058312365,-1564734.419384882,3.3396349058312373
5,0.18861143868705552,0.0011121533231027013,1.327278562698212,0.029964849365868636,0.9816823529479797,0.03647799072243334,0.25754629629629633,-1545264.8542960063,16.33375152482292,-1565495.5552038336,16.33375152482292
6,0.16902695663068038,0.003339736873882292,1.4508426186801229,0.03204613467333597,0.9361119460604563,0.06521299927468965,0.19776543209876543,-1541368.3285780088,40.24435937972342,-1565645.6485572322,40.24435937972341
7,0.1765920628903737,0.004611704069861372,1.3975976219960384,0.0479222205877542,0.9432624183896184,0.044477807550005244,0.1827561728395062,-1537066.3884867497,114.75230311332848,-1565390.32753737,114.75230311332848
8,0.17012537745309586,0.005061135271132613,1.4108156463112655,0.04262688713071574,0.9252968504588451,0.05610006564354486,0.17186111111111113,-1532352.8935427694,123.0157972095536,-1564723.451664786,123.0157972095536
9,0.15584910757770754,0.01074219462254773,1.4260933819271648,0.0676204745985593,0.7540423655595145,0.10761806061345999,0.15434567901234567,-1526818.4817444962,128.99763407521613,-1563235.6589379094,128.99763407521613
10,0.14890755295196695,0.008278405627427465,1.418734394478936,0.07022149482696424,0.6997628328894305,0.09978337711079578,0.13977777777777778,-1521304.679391976,127.49441643288522,-1561768.4756567853,127.4944164328852
11,0.1437939243012945,0.006995826632022597,1.477777964239463,0.05581537858424414,0.6151512143824718,0.10949968889937511,0.11444444444444445,-1515684.9185293606,113.58643454936983,-1560195.3338655666,113.58643454936565
12,0.1416423343424028,0.005237747104273722,1.4571810445598705,0.05232096839609771,0.5911824573882566,0.10956780663837275,0.10154938271604938,-1509880.8545846096,112.71912393250715,-1558437.8889922118,112.71912393250715
13,0.13870141391476065,0.004753375799327324,1.4277589046410253,0.044446498069855955,0.6049650760784332,0.10294159746940335,0.09272839506172839,-1503987.7380424305,132.15233159795577,-1556591.3915214296,132.15233159795577
14,0.13642747895040985,0.005372089477638459,1.3953520156611656,0.04898701409866674,0.6037415636559205,0.09560938043208556,0.08506172839506174,-1497992.83983866,158.78915188545335,-1554643.1123890548,158.78915188545335
