k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,AIC_mean,BIC_mean,scaler
2,0.514,0.312,1.0,-710108.965,-706404.752,Share of Total
2,0.435,0.26,1.0,-121836.896,-121077.855,Share of Total
2,0.425,0.241,1.0,-1178490.339,-1172027.721,Share of Total
3,0.345,0.191,1.0,-713583.711,-708026.194,Share of Total
3,0.274,0.138,1.0,-122991.306,-121851.548,Share of Total
3,0.211,0.115,1.0,-1183159.484,-1173464.359,Share of Total
4,0.279,0.155,1.0,-714675.913,-707265.093,Share of Total
4,0.223,0.124,1.0,-123733.813,-122213.338,Share of Total
4,0.173,0.095,0.502,-1185132.905,-1172205.274,Share of Total
5,0.282,0.16,1.0,-714658.474,-705394.35,Share of Total
5,0.214,0.129,0.963,-124194.251,-122293.059,Share of Total
5,0.152,0.09,0.519,-1186042.108,-1169881.971,Share of Total
6,0.276,0.157,0.779,-714474.826,-703357.398,Share of Total
6,0.201,0.115,0.766,-124488.272,-122206.362,Share of Total
6,0.146,0.089,0.631,-1186245.525,-1166852.881,Share of Total
7,0.246,0.146,0.714,-714059.259,-701088.528,Share of Total
7,0.188,0.111,0.657,-124761.213,-122098.586,Share of Total
7,0.135,0.083,0.703,-1186805.403,-1164180.252,Share of Total
8,0.227,0.135,0.682,-713598.273,-698774.238,Share of Total
8,0.183,0.105,0.687,-125006.055,-121962.71,Share of Total
8,0.131,0.078,0.468,-1186805.14,-1160947.484,Share of Total
9,0.237,0.145,0.83,-713133.031,-696455.693,Share of Total
9,0.184,0.11,0.697,-125200.515,-121776.453,Share of Total
9,0.13,0.077,0.493,-1186901.922,-1157811.76,Share of Total
10,0.223,0.132,0.727,-712524.06,-693993.418,Share of Total
10,0.18,0.106,0.686,-125401.109,-121596.329,Share of Total
10,0.11,0.063,0.465,-1186242.598,-1153919.929,Share of Total
11,0.232,0.135,0.757,-711917.168,-691533.222,Share of Total
11,0.173,0.105,0.632,-125525.839,-121340.342,Share of Total
11,0.111,0.06,0.479,-1185967.201,-1150412.025,Share of Total
12,0.225,0.135,0.779,-711203.758,-688966.509,Share of Total
12,0.155,0.096,0.596,-125661.826,-121095.612,Share of Total
12,0.105,0.071,0.579,-1185785.679,-1146997.997,Share of Total
13,0.223,0.133,0.701,-710330.036,-686239.483,Share of Total
13,0.174,0.099,0.674,-125829.664,-120882.732,Share of Total
13,0.116,0.073,0.538,-1185332.175,-1143311.987,Share of Total
14,0.213,0.133,0.668,-709452.927,-683509.071,Share of Total
14,0.141,0.082,0.567,-125827.726,-120500.077,Share of Total
14,0.113,0.07,0.573,-1184777.423,-1139524.728,Share of Total
