Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.24879918118947136,0.004667267803431327,1.6134639658496492,0.025517576318108828,0.9496632188207906,0.036525819552955474,0.6474074074074074
3,0.12382863808726992,0.0028936102897602666,2.258589562231377,0.026581774842622006,0.7918512444652631,0.2008936090857481,0.3797222222222222
4,0.096107891454638,0.0030284403784660366,2.359483154251958,0.038900419823992345,0.6726061848687118,0.12321800739144485,0.2716358024691358
5,0.0876277508950753,0.007510984215589546,2.2946331156276787,0.10377011242677342,0.6045296119199397,0.10731053535734861,0.23728395061728394
6,0.07918926898317412,0.003877618439090623,2.2704593878060546,0.16701525021292885,0.493386872096092,0.0985197257595003,0.21101851851851852
7,0.07531235707959213,0.003496539510788089,2.1856648044325198,0.15717400462348863,0.5269148776150554,0.09145667107695127,0.18586419753086422
8,0.06707628499652987,0.00558425834828695,2.167249090320994,0.12000227826316322,0.4418975135324794,0.07330080212838022,0.16370370370370374
9,0.06759395828057486,0.006731520505274783,1.9922857884552776,0.14915364860461283,0.49148992866988406,0.09154238180974433,0.1601543209876543
10,0.06342272340928198,0.00878151503898658,1.922022998363603,0.13251299034050393,0.48219603224579805,0.0897130567797385,0.1488888888888889
11,0.06286864032809873,0.007068518349288067,1.8565537549331226,0.15623024602542931,0.4571191413095024,0.07777396686135929,0.13311728395061728
12,0.06380709452122503,0.007796688606852526,1.7280021707741813,0.13000813390430457,0.442492271362348,0.11668316987941708,0.1354320987654321
13,0.062096976530658134,0.007175565824307272,1.773120661627333,0.13218597514667685,0.4847525248008206,0.09729433061160601,0.11515432098765432
14,0.05563741050562876,0.007946582651677648,1.7159559110216178,0.11825362961776974,0.4258614485496073,0.0899719295766981,0.10725308641975309
