Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus,Inertia_mean,Inertia_std
2,0.3198426813239936,5.551115123125783e-17,1.3747515515649982,2.220446049250313e-16,1.0,0.0,0.6234567901234568,0.171616181235828,5.551115123125783e-17
3,0.19030297655301814,5.551115123125783e-17,1.6860816643054162,2.220446049250313e-16,1.0,0.0,0.3632716049382716,0.1447384761784071,2.7755575615628914e-17
4,0.17914338937606458,0.00112466156937062,1.5959376608279519,0.006863334740803812,0.9594643433991432,0.038150585782580626,0.2607716049382716,0.12784974826550521,6.924431215193211e-05
5,0.17689501797052912,0.0021638013083635256,1.5963993143194557,0.016978128008585832,0.930007744081306,0.08927614445568209,0.22466666666666668,0.11627245932333377,0.00020262766647668199
6,0.17613241844339225,0.0034711338704754204,1.5462046986257973,0.02565330002567619,0.8957034327452528,0.0592785310368741,0.18896913580246913,0.10807572829715047,0.0003628478175675
7,0.168762959291185,0.008741881682013475,1.488171502971418,0.07141717720642342,0.8081304644082398,0.0860426211767076,0.17952160493827163,0.10158380185639629,0.0005369998293640378
8,0.16180915014059635,0.00927453924307053,1.445667385733683,0.06752345619557039,0.7593725095722711,0.09811469205149567,0.16605246913580246,0.09530824963983184,0.0006659415436622752
9,0.1567972292858625,0.008585957153335912,1.4176292757133098,0.06465779501547858,0.6864699681116786,0.0983429494843989,0.14970679012345678,0.08995909081652485,0.0006357741907089824
10,0.1542395065718751,0.00833547751758334,1.40622924505381,0.05702067741924308,0.6595704578696604,0.09502664233418556,0.13412654320987655,0.08514213547430784,0.000480603373947075
11,0.1535239747548944,0.007591044815946662,1.390158605668077,0.05574444112164738,0.6481717514448763,0.09775931259087674,0.12091358024691358,0.08071876282188847,0.0004947654330987914
12,0.15033501107405903,0.008682989412206549,1.3881070088506986,0.06650272008520439,0.6564077062546979,0.08901221835646946,0.1091820987654321,0.07676300530453706,0.0005025518033502926
13,0.1458394628097859,0.007853483732243101,1.393424641366175,0.07115815682317837,0.6314101299108897,0.08319626262397677,0.09825925925925927,0.07351884179610471,0.000516077196332852
14,0.14367600590474006,0.008476136972906376,1.3735736058614054,0.0791177186246666,0.6063975707934905,0.08364013219855922,0.09178395061728395,0.07059583155493683,0.0003954814152107218
