Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus,Inertia_mean,Inertia_std
2,0.31910194270486786,0.0,1.3533255879546906,0.0,1.0,0.0,0.6267066267066267,0.15625050845814076,0.0
3,0.20472760520931332,0.0008599073107177085,1.6243617532396635,0.0024071130434457633,0.9101312056181713,0.0,0.37129537129537127,0.1292375362155362,0.00014664554174907696
4,0.1941119479522494,0.0010399599531420861,1.5367180059237926,0.006963139342216373,0.9288617520714371,0.0,0.2639027639027639,0.11198084790683743,6.548889414884074e-05
5,0.17848969817108157,0.002221124007449296,1.5719948002254425,0.0850116917819741,0.590693919489193,0.0,0.21578421578421578,0.10418473872242967,0.0003725723949279461
6,0.17024813161304092,0.0030165609351798656,1.6056280004029047,0.011742897801393815,0.7145054762434115,0.0,0.18081918081918083,0.09702712530209537,0.000489693703956802
7,0.17120955179645245,0.013464749466989251,1.5091200691857352,0.05228376967704895,0.7516182996790273,0.0,0.17665667665667667,0.08971632933536669,0.0012844287296147408
8,0.17508596859404546,0.0017126391134399954,1.4610593340218774,0.04236945433819317,0.66967199150821,0.0,0.16766566766566768,0.0849303072986797,1.3664490518129624e-05
9,0.16721610205559634,0.00494216907766136,1.4384077891046192,0.0066923116669076466,0.7638451493970351,0.0,0.14119214119214119,0.07941408574010997,0.00027273167185624253
10,0.15590000658049397,0.0019495097077168594,1.467809961686692,0.010329482923874922,0.6860615759792714,0.0,0.13053613053613053,0.07582503062342091,0.0009136857827059808
11,0.151225961652377,0.0031789344505750716,1.398924768417726,0.027639080611657096,0.5355719374977955,0.0,0.11538461538461539,0.0720678690938907,0.00011897539381285072
12,0.14980653634018365,0.011691517743187024,1.4088630296029079,0.009993435153069608,0.5184539947289027,0.0,0.10855810855810856,0.06850652079823501,0.0017039517127349496
13,0.15213689249278645,0.012315433750815327,1.3204868737663331,0.0302131589674397,0.4770860046540343,0.0,0.10989010989010989,0.06665162409262744,0.000114266453257586
14,0.1393430965712812,0.00620846326619362,1.4436960853813021,0.038839411922124034,0.6110912143256855,0.0,0.07492507492507493,0.06221706603967416,0.00039834276784179307
