Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.4982502482086349,0.06527725577388782,1.3630063830172896,0.15518594521441675,0.834625322997416,0.3175667492658856,0.6313333333333333
3,0.3436814469755194,0.025862357216191408,1.6243587900008134,0.05627194791177043,0.6317848575801222,0.28127598169871165,0.3817067901234568
4,0.30732071861051585,0.0004131171777257452,1.6107811838546378,4.4810098503983636e-05,0.8817323150230456,0.23819064116278024,0.2645185185185185
5,0.2836596397368946,0.0158929316288448,1.6990851100395912,0.08256735327451653,0.8155325473067396,0.21858261794789413,0.20219135802469132
6,0.271536215432493,0.02582749843431026,1.703158190430183,0.1206749969593366,0.7589214339625124,0.19675080657061583,0.18182098765432095
7,0.249714343129151,0.016401599279507826,1.6944629302590675,0.0793558928296869,0.7821990635186497,0.18002024162498184,0.16698456790123456
8,0.23238335244236275,0.005969478212070199,1.6784008698527884,0.06159349678649164,0.8068917754017336,0.20959093831628525,0.14776543209876544
9,0.22200076054365353,0.008541671346059947,1.6733441090703922,0.08704830714407784,0.7179859859417242,0.18047333983443647,0.12855246913580246
10,0.21432462665129134,0.00973367299438768,1.6684781614348794,0.05550667224740696,0.7911202646159371,0.1408810123362152,0.11076543209876544
11,0.21883491512193218,0.006623744072569795,1.5996724495860213,0.030161393664465783,0.8760751482934668,0.11104216247806074,0.10268827160493826
12,0.22144257168370587,0.0021931142848544798,1.543242275867497,0.018177778123668737,0.9657706977616769,0.05152141166129683,0.09414506172839505
13,0.22789562099990918,0.007160650846407657,1.4578517350169375,0.020891320599683537,0.9243752656832863,0.06231452429636276,0.09194753086419752
14,0.23546483211194308,0.007223670217408866,1.3728524069472123,0.02402042189028087,0.9324211295631523,0.06207256853824643,0.09022222222222222
