Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.4746985909237136,0.08019064502722749,1.4470856252601527,0.21745836179279024,0.7908035991312442,0.3689987130444977,0.6663580246913581
3,0.2968270347030558,0.017367760361612958,1.806956181637422,0.025517216326554622,0.8584949453359172,0.22410354571413077,0.3755308641975309
4,0.28310024997857125,5.551115123125783e-17,1.7345187672050313,2.220446049250313e-16,1.0,0.0,0.27314814814814814
5,0.24873066753925754,0.01811721533925089,1.797800417244367,0.06658240421984667,0.7075171126381398,0.18417837779648677,0.21382098765432098
6,0.26011558461859574,0.017796621763488635,1.6537462803320766,0.03195953046315803,0.7364847513794361,0.1844959518141083,0.19251543209876543
7,0.23192343276893265,0.01954962854988229,1.727393625245475,0.059171529809306025,0.689730320212284,0.1985335214460459,0.18041358024691356
8,0.22380705816539603,0.013455745257580507,1.702520498284378,0.056571038222973706,0.6939196207866913,0.19482305428828844,0.16477160493827162
9,0.22280220082400415,0.01644595709063219,1.593323509651734,0.12836616977173343,0.6859433980235174,0.1908740866488833,0.15449382716049384
10,0.21788822223632642,0.013199607099432438,1.5554592785064034,0.14594941381630785,0.6790670491045967,0.1999811357130137,0.1424814814814815
11,0.20657269810747472,0.00925203281804316,1.5764090510253583,0.07874809062109159,0.7945897514455532,0.16415085880666852,0.12299382716049383
12,0.2006361368671417,0.0017490209206208022,1.4965515498995237,0.0407704456929264,0.8613467898456086,0.14805876865745599,0.11787962962962963
13,0.20036410915315261,0.006486794027958347,1.4469424119385597,0.03905475175841586,0.9208393801028076,0.09586298923944199,0.11038271604938271
14,0.20931787994663856,0.004803101668529967,1.3810247322710592,0.039945981065679675,0.9235763093997778,0.09713667808208284,0.10534567901234568
