Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.5117358141882602,0.0,0.3281268153493593,0.0,1.1400191971379692,2.220446049250313e-16,1.0,0.0
3,0.3537522985956088,5.551115123125783e-17,0.2103947979754254,0.0,1.604584378591297,6.661338147750939e-16,1.0,0.0
4,0.3240920193744701,0.00023542820287716836,0.19587177652451682,0.00015744009804374024,1.517141406047373,0.002219986878414628,0.9928314906708149,0.015943723105556546
5,0.28657641786736177,0.0,0.1694161785113722,2.7755575615628914e-17,1.7381774101687006,0.0,1.0,0.0
6,0.29904264926567015,0.0012542387375968,0.17587750891072967,0.0006677400639671517,1.5510484681724948,0.004279631055499776,0.9901735929527049,0.016095629890336197
7,0.25265946430581077,0.0054866977908973975,0.15103705255544322,0.0035878449002587705,1.8191591736344754,0.023057877905715736,0.9253030971478016,0.05975978532860687
8,0.24241383053598714,0.0008131528514827039,0.1448445318736783,0.0004454834716069078,1.709643205969241,0.009478832877358977,0.9884181781013658,0.01768824757708597
9,0.22202652443601598,0.007953356208030154,0.13325067462478754,0.004358242628188656,1.6658566004750934,0.034414890186940515,0.8787164085546025,0.06345502234628247
10,0.1994486410175636,0.008071254347583308,0.11934046675186616,0.004414019028080796,1.649275483955767,0.0178907024591807,0.812395701652633,0.09025173100590066
11,0.2015168581464785,0.009864533229286265,0.12209893060725081,0.0052988978369756835,1.6309011324010776,0.0210824576312228,0.8204350454195972,0.08818294705828382
12,0.21060870677583768,0.010318500235740916,0.12641991689436904,0.005558829983086833,1.5739648482243818,0.03379841321315854,0.7765719764506284,0.09847742728023706
13,0.22267153066128453,0.014409986892099562,0.13154058640866098,0.007564181404816545,1.538599437306166,0.023992206321411507,0.8378102060865055,0.08219998861923063
14,0.2021059639931957,0.012371215303847565,0.11911073460834455,0.0073893225006611656,1.5687349034547882,0.03542360231058569,0.7527354860810934,0.08286410326594244
