Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.5272827917051108,1.1102230246251565e-16,1.2502353590159552,0.0,1.0,0.0,0.6790123456790124
3,0.33442346224176417,5.551115123125783e-17,1.6677805447596028,2.220446049250313e-16,1.0,0.0,0.36604938271604937
4,0.32582827714580626,0.001346024364689631,1.547026560606541,0.0022606536767378355,0.975391508511136,0.024984335236171794,0.2580216049382716
5,0.27212196291159413,0.0005732558112703028,1.776256183984164,0.0016071065146958364,0.9947442052837091,0.019766203646321,0.19504012345679012
6,0.23508753248276104,0.002246533279816282,1.841320946578434,0.0032681558239371195,0.9818677611538182,0.019479418261281387,0.160141975308642
7,0.2497744030608904,0.002149521718407512,1.7587989506545525,0.028201380505108484,0.9768809407313739,0.023360976502164323,0.1368641975308642
8,0.22553058341012316,0.009373324513195752,1.7409746182899315,0.027768044377938724,0.7994321495187653,0.09203506593759796,0.11930246913580246
9,0.2070298623258615,0.010722612011561041,1.707796887868711,0.02234526896993209,0.82777622072637,0.09176524631892934,0.10422222222222223
10,0.2081354446685279,0.011920736122950963,1.6501979093012826,0.02781626390611095,0.7923021000467487,0.09711271787873454,0.09627160493827161
11,0.2075096096176164,0.014089246793220074,1.6368401812838642,0.039399327489149746,0.762587809185435,0.07623964540271937,0.09180555555555557
12,0.18953213875350589,0.01328131500328792,1.62079274049266,0.033629244953322465,0.7916884932250976,0.08202431254573053,0.0820432098765432
13,0.20439025931597046,0.014412380261275884,1.5782452265929812,0.050796645456979754,0.7908793706644001,0.08124699623855483,0.07640432098765433
14,0.19145913703320003,0.014244794538582727,1.6127966363107986,0.05166964259538165,0.7393294041837714,0.07884053440278908,0.07048148148148149
