Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.5272827917051108,1.1102230246251565e-16,0.3304289908778788,5.551115123125783e-17,1.2502353590159552,0.0,1.0,0.0
3,0.2801679743035298,0.0004243880070226898,0.17004153558821009,8.280196594484331e-05,1.6529804990547483,0.0023180474098106253,0.9991685912240185,0.005819861431870666
4,0.31673281260305325,5.551115123125783e-17,0.17950482672845045,2.7755575615628914e-17,1.5704664422868193,0.0,1.0,0.0
5,0.28233168667451797,0.0005013518784175019,0.15318453445619487,0.00031672379319984737,1.7294780262993605,0.0015523958797788089,0.9985812831152596,0.006987105333994482
6,0.20899341268555433,0.0030340820065001134,0.1436153963956362,0.0014906459664022905,1.6743137440429035,0.03436070434507571,0.9854951923427032,0.014359026995993632
7,0.25477861010732633,0.0045262744989505105,0.14835188498018567,0.0034727198419707097,1.6885917544672304,0.04959728602508277,0.9639832171644748,0.03720003536206227
8,0.23764500352905707,0.0024569873646763194,0.14038845344972656,0.0009642186116522375,1.6004797232482042,0.012799612093248591,0.9732006818867137,0.03229284264861963
9,0.23353252898514637,0.003838760539719728,0.13943817264831188,0.0031153427242709367,1.6379581500380542,0.008672085286477676,0.9533748049037593,0.0380409185254706
10,0.23112063756336898,0.007658639145270899,0.13524990829682837,0.004586715820725693,1.617612575302709,0.012749785410746487,0.8957137271556442,0.07306547330462994
11,0.20936004385044676,0.012321147207867825,0.11943890227591338,0.006367691146435597,1.6029925807416774,0.02402296962045462,0.8123411024825851,0.08076414869218378
12,0.20005178562959014,0.015991090488585477,0.11135520149437954,0.008953064234548329,1.6075214515682865,0.04438861861464316,0.7606539000176034,0.08562614397746394
13,0.1849336334310392,0.016764103406498483,0.11204590879891832,0.010195842839220018,1.5892544173628018,0.04480670022143634,0.6796459605591249,0.0899959196205353
14,0.17557346957484615,0.017320613860225726,0.10898513301372603,0.011673077396268298,1.6124516168531577,0.04483217602827004,0.6220672456942058,0.09128592719629541
