Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.3429254082499212,1.6653345369377348e-16,1.1998491716505888,2.220446049250313e-16,1.0,0.0,0.7104938271604938
3,0.1710722495477918,2.7755575615628914e-17,1.6417120911405514,7.549516567451064e-16,1.0,0.0,0.4308641975308642
4,0.18109676650191073,1.1102230246251565e-16,1.5618069422045016,1.6764000044290904e-16,1.0,0.0,0.262037037037037
5,0.14664333132979682,0.00040656923865502154,1.7154128203743446,0.015486212263536673,0.960598521786498,0.04540274756028069,0.21468209876543207
6,0.13471990474505863,0.0035141512455232685,1.725681634233301,0.00879060811979394,0.9778402821119387,0.02127149909034295,0.18678086419753084
7,0.14440422622218427,0.0006916362136725864,1.6506753184044223,0.005292895591404913,0.9874738828824745,0.017155008464424776,0.14695679012345678
8,0.14316337125738762,0.005297476314358981,1.6005309214572603,0.07576543124123017,0.8853627584732624,0.13382972477860056,0.13082407407407406
9,0.12830809130327525,0.0036802444316240543,1.6751396830601633,0.040033139152790206,0.8103245466109265,0.11687834843143861,0.11226234567901235
10,0.11921640360020458,0.002440729018740537,1.6024127977964229,0.009163128604458885,0.9672555762251686,0.033310071701544444,0.10400308641975309
11,0.11916538585226424,0.006707822417201651,1.611134389862419,0.030007347748089552,0.8840025903756348,0.07477534592367976,0.0916141975308642
12,0.12087902052330858,0.006398546620921636,1.5873168847134773,0.033397691819150394,0.8842860915223479,0.062178806685345464,0.08242283950617284
13,0.12238227218364607,0.00563237950148616,1.589018560298585,0.02339497427046717,0.8685430455492222,0.060505453252284506,0.07374382716049382
14,0.1133761231634825,0.0035561004212005362,1.5847270935189044,0.021610825498955013,0.9475171646954701,0.042002915147360605,0.06551543209876542
