Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.5272827917051108,1.1102230246251565e-16,1.2305641785545844,0.0,1.0,0.0,0.6790123456790124
3,0.33442346224176434,0.0,1.6449771507235074,4.3284461991572713e-16,1.0,0.0,0.36604938271604937
4,0.3258282771458065,0.001346024364689654,1.5338308221321864,0.003930914280946661,0.975391508511136,0.024984335236171794,0.2580216049382716
5,0.27212196291159435,0.0005732558112703234,1.7644128579186213,0.0012766678219269599,0.9947442052837091,0.019766203646321,0.19504012345679012
6,0.23508753248276096,0.0022465332798162563,1.8410204570771471,0.00278027892830478,0.9818677611538182,0.019479418261281387,0.160141975308642
7,0.24977440306089022,0.002149521718407497,1.7660959858269556,0.026852283376626814,0.9768809407313739,0.023360976502164323,0.1368641975308642
8,0.225530583410123,0.00937332451319561,1.779412842199583,0.035197548108536314,0.7994321495187653,0.09203506593759796,0.11930246913580246
9,0.20702986232586165,0.010722612011560965,1.7203136504473076,0.02512984317273928,0.82777622072637,0.09176524631892934,0.10422222222222223
10,0.20813544466852807,0.011920736122950826,1.6759337952361222,0.02732828950374811,0.7923021000467487,0.09711271787873454,0.09627160493827161
11,0.2075096096176164,0.014089246793219865,1.6657243621593962,0.03918145500707116,0.762587809185435,0.07623964540271937,0.09180555555555557
12,0.18953213875350586,0.01328131500328787,1.6475380714819516,0.03340848325922593,0.7916884932250976,0.08202431254573053,0.0820432098765432
13,0.2043902593159702,0.01441238026127574,1.597344419796656,0.04913120387040472,0.7908793706644001,0.08124699623855483,0.07640432098765433
14,0.19145913703320008,0.014244794538582625,1.6122228815989927,0.04936719338465639,0.7393294041837714,0.07884053440278908,0.07048148148148149
