Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.32133635147487266,5.551115123125783e-17,1.3752813210835668,2.220446049250313e-16,1.0,0.0,0.6111111111111112
3,0.19690610294753647,0.00047347259187327897,1.628785772858237,6.082052419711285e-05,0.9841030939031692,0.02081108287558912,0.36686419753086424
4,0.17896442098337112,0.0010482976166160485,1.563278370144814,0.0023025330765314624,0.9926810129125693,0.022823970594596222,0.2607407407407407
5,0.14795504950243146,0.0009580365407650794,1.7607421811909805,0.005524596274010353,0.9915564869632572,0.012953731966972566,0.19666049382716053
6,0.16073622755466235,0.0034256494327108856,1.5963262505504618,0.008638328147710496,0.9605183575844289,0.04068343016882207,0.17790740740740743
7,0.1417497702949239,0.002579911180201161,1.816690032330779,0.043574019184694064,0.9132206239386627,0.09237790723070212,0.13514506172839505
8,0.12795796252134647,0.002005704282354969,1.7849747732249728,0.02442600927379218,0.911481036229032,0.04794970583362151,0.11690432098765431
9,0.12687709812089693,0.0025619608297896904,1.660811125412148,0.015249462289213823,0.8985882785320255,0.05853406316007612,0.10705555555555556
10,0.11243794414217873,0.007407657865152652,1.70468035103703,0.0525672246375241,0.7430415990936973,0.08377108097978726,0.09628703703703705
11,0.10607164289690454,0.0074982239061868895,1.6737705532280944,0.05505599443841004,0.7258590921357869,0.08229107116254358,0.09061728395061729
12,0.09907873586553433,0.005115457456532481,1.6421203928391008,0.030863117541769094,0.8102357911173537,0.07226594844386132,0.08093827160493827
13,0.10462972006139537,0.010800643255830862,1.6177021042462587,0.08959541013877653,0.7245409984942753,0.07767877050164895,0.07759876543209876
14,0.10575982372654517,0.01100293700056311,1.4912983526688246,0.07420824500438633,0.7136879411785932,0.08718778464249792,0.07555864197530865
