Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.4557629041399198,5.551115123125783e-17,0.27959670262513925,1.1102230246251565e-16,1.4818455318169184,6.661338147750939e-16,1.0,0.0
3,0.35085135746005386,1.1102230246251565e-16,0.19619464889503238,8.326672684688674e-17,1.6261166276656605,6.661338147750939e-16,1.0,0.0
4,0.32123361362443925,0.0006429715744837072,0.18197774310478493,0.0002487034047529252,1.5317469238604644,0.0028788929733681986,0.9987996199568977,0.005911807980995179
5,0.26437485395241217,0.0021558917513609037,0.14601707578673825,0.0008555304212131447,1.7863435078165733,0.004077941400156176,0.9571530065607753,0.03344058556207916
6,0.28553232606893136,0.0037076901048046897,0.15199959061143145,0.0016747293222096026,1.613303792667788,0.016103434066562818,0.9789208393569345,0.022922462038536276
7,0.2396059400595821,0.004433638713157872,0.14240022680624814,0.0020820880913375037,1.7603299434499857,0.020833966346260852,0.8869368639154711,0.07025630477105063
8,0.2374028231355598,0.004671977014701046,0.13136751169265065,0.002333734294601701,1.696447072074694,0.01090133395643616,0.9512945600292211,0.03511843336066633
9,0.21835162067636424,0.008259205312683034,0.1283053260461495,0.004149279596238751,1.646598026493825,0.02483236321638263,0.8374937696417096,0.07352606977735167
10,0.21716480706143648,0.017059239207358624,0.12296780028460905,0.009156375817993596,1.6978131400854806,0.03995790740300187,0.7404457690812517,0.08826174868418228
11,0.20319685375455898,0.01648995579717063,0.11094800999594082,0.008303034548565564,1.6646708984291394,0.04126670697796252,0.69871562257766,0.08135157452537459
12,0.18218036798473441,0.01822091518341054,0.10554402780721919,0.008718073997832868,1.6267989539494345,0.047992655590218064,0.6962561688727024,0.08682338385708131
13,0.18496566078565074,0.020898248145661137,0.10547479429437986,0.009569935830659805,1.5696004620657,0.08851836187402261,0.6528471488768026,0.07910109568573287
14,0.17759076073952357,0.024602007306459048,0.10304463860625716,0.011988989091762747,1.5030549645995281,0.08451249374712083,0.6476113626980053,0.08516158246308005
