Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.49328451631950465,0.0,0.30971412222452566,1.1102230246251565e-16,1.2808672861217045,2.220446049250313e-16,1.0,0.0
3,0.3085994658395373,5.551115123125783e-17,0.18116608311790866,2.7755575615628914e-17,1.7910373631685907,1.616509124176106e-16,1.0,0.0
4,0.2818869604244867,0.0005088994740875236,0.16619946925223755,0.00020546811880801545,1.694562134252247,0.0004725696164211031,0.9964335454027216,0.010946780619279709
5,0.23409135367977996,0.0,0.13802270583224976,0.0,1.9346317867429699,4.2363410620225113e-16,1.0,0.0
6,0.23385685559471642,0.006315183567907858,0.13714097076123696,0.00307054262471889,1.7502657966818873,0.011018073925705486,0.985786213196962,0.022116062869320375
7,0.20357431633156867,0.005664985243390842,0.12011510411783728,0.003010791440922374,1.9150484507310086,0.05553604566158686,0.8876768673293529,0.12854967081636767
8,0.19199048638899507,0.007176894031898807,0.11377286326716533,0.0039059020125983123,1.8086168883005616,0.028840501544837534,0.8951640710481195,0.06271442358166007
9,0.18731128213099865,0.00746254984303172,0.11249133509357452,0.003559078429838746,1.809040684998717,0.028991336592345207,0.7850553082705546,0.09131710210933212
10,0.16396616702737635,0.00872880904830172,0.0988175422297121,0.003971630787548428,1.7850191033832903,0.029967853529333652,0.7952145025702828,0.08678267982982481
11,0.1709924962310754,0.0058288386534997225,0.10190795033183629,0.0035494747690333,1.7518847601993155,0.023946374219737446,0.8312607105258425,0.08026422422981641
12,0.17729132016525942,0.011141340623710678,0.1044872070470169,0.00593020671497382,1.7253076640715674,0.031114149868980874,0.8112919958511182,0.1027686728524397
13,0.16731604996828475,0.008631974190730812,0.09838095397569736,0.005080417659440385,1.7138658229226424,0.04063607755714277,0.7422303246009013,0.072508183626313
14,0.15512183464677823,0.012244533579899968,0.0917425875852067,0.007684026825973803,1.7211067477596373,0.04103618275276632,0.7483128168831727,0.07299389621727974
