Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.4954185252162596,5.551115123125783e-17,1.3983125767351663,2.220446049250313e-16,1.0,0.0,0.6790123456790124
3,0.3067364615466014,0.0,1.8095545776549182,2.220446049250313e-16,1.0,0.0,0.36604938271604937
4,0.27359138090379703,5.551115123125783e-17,1.7019160530881132,4.788138475230814e-16,1.0,0.0,0.24722222222222223
5,0.24072012138316734,0.0006177574068150136,1.8603456235256706,0.0003015730806444696,0.9985291690028426,0.005885219084181542,0.20032716049382715
6,0.19316135773221232,0.007662746106875049,1.9847365260810454,0.047207870290390135,0.9255779555464,0.05404694032902991,0.16125
7,0.20791666141106394,0.004398623680611968,1.9726969136487233,0.024715042992655558,0.8848897979973213,0.07733017427770275,0.14205555555555555
8,0.1854126894439063,0.006504664341896367,1.8543141177699078,0.032295407121264746,0.864287107346678,0.08811441368977418,0.12385185185185184
9,0.18600569957101684,0.007675542726973548,1.824568625679917,0.025849238061341637,0.7747870565065447,0.08864434436355081,0.11355555555555556
10,0.18341035170418113,0.009266560739453035,1.768099201953766,0.026044745835261607,0.8377414706064622,0.08962840969072772,0.10157716049382716
11,0.17136781873710089,0.008773243415519497,1.7650233728471756,0.020946684613035255,0.8091940402144825,0.07873311294843999,0.0909104938271605
12,0.15947190682882614,0.014717350923429007,1.73730132145664,0.026115623324090523,0.7614658626075782,0.07361511299420988,0.08318209876543212
13,0.15849763295432798,0.014943704630201816,1.7517737260655835,0.05042637732620427,0.7400764928296588,0.06992300033124126,0.07807098765432098
14,0.16760796358136695,0.013754620261177217,1.6314974995552207,0.0516027792767524,0.6988577768389589,0.06862877535216134,0.07703395061728395
