Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.4940356791976116,5.551115123125783e-17,0.4940356791976116,5.551115123125783e-17,1.246885767407871,0.0,1.0,0.0
3,0.24207281956805987,2.7755575615628914e-17,0.24207281956805987,2.7755575615628914e-17,1.8068619909943848,0.0,1.0,0.0
4,0.22702148884086798,0.0,0.22702148884086798,0.0,1.7562260644843324,0.0,1.0,0.0
5,0.24841402464520232,0.0018518223517049763,0.24841402464520232,0.0018518223517049763,1.833777582942378,0.0028927248853122703,0.9925834885776567,0.01483302284468642
6,0.24331581522658272,0.0011342851691517497,0.24331581522658272,0.0011342851691517497,1.8135600766370152,0.005760216803259155,0.9901116634303219,0.013312580524032832
7,0.22521941515120872,0.0008853952039436623,0.22521941515120872,0.0008853952039436623,1.7370424316870536,0.0020645916919943465,0.9802719675442049,0.018453884591185642
8,0.172026747563948,0.0009786983204138732,0.172026747563948,0.0009786983204138732,1.7648537160743007,0.0052182412516977965,0.987927646360521,0.016252903489651492
9,0.19484497342778936,0.002549127830830877,0.19484497342778936,0.002549127830830877,1.6586584522181973,0.006137157910655167,0.9915166720958116,0.011421029719254214
10,0.16549860630238017,0.011050851012180417,0.16549860630238017,0.011050851012180417,1.7312563161008214,0.022383113818349544,0.9688932092764895,0.04187879866678686
11,0.15784254840323042,0.009406733522514346,0.15784254840323042,0.009406733522514346,1.7495997043775442,0.017753291651458954,0.9674150775991888,0.04307145862305809
12,0.1704676149053074,0.0062946418070848826,0.1704676149053074,0.0062946418070848826,1.6654049964041646,0.04702976943720236,0.8485983500876755,0.11214892674787023
13,0.1764739817243303,0.004385263770217699,0.1764739817243303,0.004385263770217699,1.6743145560924497,0.035058700890121315,0.9111028142324007,0.07623033238253722
14,0.16987899143437332,0.0015401624503058875,0.16987899143437332,0.0015401624503058875,1.7061824497671918,0.00022335620973981118,0.9886846005271092,0.010120800965579784
