Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.5060509909191694,0.0,0.3165304597230691,0.0,1.3019226373378632,4.440892098500626e-16,1.0,0.0
3,0.3038699652850945,0.002689842598252358,0.18143285141997553,0.001507542500555017,1.6555490174346783,0.0034795143914444276,0.9970533495269525,0.011790398510710873
4,0.2852193025283425,5.551115123125783e-17,0.17501255197322524,2.7755575615628914e-17,1.625892234443118,2.220446049250313e-16,1.0,0.0
5,0.2927745368736159,5.551115123125783e-17,0.17752003532013513,2.7755575615628914e-17,1.7082060979505922,6.019825398928962e-16,1.0,0.0
6,0.18905213306777632,2.7755575615628914e-17,0.12158380098994437,1.3877787807814457e-17,1.8550461819446662,3.741962194848173e-16,1.0,0.0
7,0.1657308990462996,8.326672684688674e-17,0.11151374733517962,0.0,1.5908295984200824,8.60548182716241e-16,1.0,0.0
8,0.187699582247725,8.326672684688674e-17,0.12206923090235572,0.0,1.572341708967173,2.0591569550578067e-16,1.0,0.0
9,0.2209969707610086,0.007733984695557169,0.13455737795730113,0.003692429843259185,1.519219405687893,0.018879020658002087,0.9792606482671757,0.04454983886968412
10,0.20957490807472914,0.000276455900343343,0.12953270851434961,0.00013156756902630017,1.5053072500249174,0.003024068380635137,0.9988223187558258,0.008243768709219354
11,0.19820760958837713,0.015035689738189764,0.12239060920371436,0.008062805028754623,1.5701824628321888,0.07321672958548701,0.8159993673380134,0.1443647458160224
12,0.18646972248282445,0.013905366203575513,0.11490793434058834,0.007228219133338072,1.5702900868735779,0.03125930674968827,0.8869304387419055,0.08517950879476344
13,0.20496868935618,0.005796821632735287,0.12394752120196102,0.0031072927397091652,1.591867952337064,0.006877648278463385,0.9704062540763748,0.0351665947099312
14,0.18584972826041807,0.004399421429449486,0.11353801980526475,0.0022063054041633816,1.5812928239385917,0.01267652014106431,0.938718872811131,0.03974931578190816
