Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.5418282143210182,0.0,0.3428363121756703,5.551115123125783e-17,1.198319630363718,2.220446049250313e-16,1.0,0.0
3,0.34099816516269965,0.0,0.19860529113424386,0.0,1.5848882932926975,2.220446049250313e-16,1.0,0.0
4,0.27564127904296215,0.0,0.16224114794216063,2.7755575615628914e-17,1.7414403850886762,6.661338147750939e-16,1.0,0.0
5,0.21653951805758723,2.7755575615628914e-17,0.12794980532158937,0.0,2.119627047248323,5.824175385795272e-16,1.0,0.0
6,0.2277545540634639,0.005313215491340247,0.13335258302856146,0.0028820163619996237,1.8711808860335457,0.028836390999976,0.9637062510862557,0.05643488262525985
7,0.23437293051608762,0.005540015124221935,0.13634301165759008,0.0028529303019992217,1.8143281628416874,0.03539798606649237,0.9770657602519056,0.06395567837928037
8,0.21946194802340166,0.0005231691606207011,0.12773261099362637,0.0002281224712120666,1.7634441088389823,0.001551386852796512,0.9987989875330371,0.005915778005127221
9,0.20164834244084034,0.0029286223899266813,0.11740677315353358,0.0015636520576894715,1.7910172978853822,0.014081015392723847,0.9443637334266756,0.038738663331989574
10,0.2055701085535086,0.004486879350516551,0.11773323463023413,0.0023179211220048694,1.7082142400972162,0.01570769430103765,0.934448668444625,0.03468607495989907
11,0.19132393233319125,0.00602013030046875,0.11108962235182523,0.0028469086314430628,1.7429365464331645,0.014539532385799693,0.9047572335535343,0.04878244166694335
12,0.18687358139004076,0.0066882627222035786,0.10875798427844406,0.003667206379982851,1.716408986889245,0.030454090437555058,0.8631530491727698,0.05750151102251213
13,0.1750095710774919,0.0098859326968163,0.10192209692416161,0.00526081969755336,1.7710401016656179,0.0424459890653947,0.7993238924890073,0.0766156079259273
14,0.15952094339256775,0.013053297076616925,0.09358462271585336,0.006684604663977546,1.7854728872072705,0.057468760039252866,0.6652736061561779,0.08112821070596979
