Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.5418282143210182,0.0,0.3346657576751034,5.551115123125783e-17,1.2343248629702221,4.440892098500626e-16,1.0,0.0
3,0.3274718938645623,5.551115123125783e-17,0.17945818181561154,0.0,1.6601738935877426,2.220446049250313e-16,1.0,0.0
4,0.2750148567085331,1.1102230246251565e-16,0.15074707867623346,2.7755575615628914e-17,1.782337107288832,8.881784197001252e-16,1.0,0.0
5,0.1777322354719675,0.005988565410378741,0.1295802656506436,0.002846906200276045,1.8015946585784266,0.014922621018058031,0.9460800474910478,0.046616994933982324
6,0.1577751172371567,0.007345604212281129,0.1126639645708111,0.004190177973317189,1.85418824164884,0.0559360316423088,0.930363954208061,0.06308552096978277
7,0.1544602048526894,0.0009961409232311783,0.12090254184780701,0.0001923003393414223,1.7987002536206091,0.0024230477190600418,0.9952028621645708,0.012046535770327741
8,0.15713919687270278,0.0036576244678801144,0.1174980098740466,0.001686433837893426,1.7630664496144768,0.02733493378171413,0.9714800742345956,0.027611420217739185
9,0.15453327895976854,0.00468726401567641,0.11162403386981906,0.0023076199523735896,1.7112924439038144,0.019709816795497652,0.9539881734460527,0.03227513070110596
10,0.16035515313553209,0.00361913372029054,0.1130373922590721,0.00046733349766484787,1.6212275612440317,0.023905566858058176,0.969719316704447,0.04129485757483415
11,0.14024071223673024,0.007857577184790633,0.10587459455314034,0.0020154761314503263,1.7177710679642246,0.03895007993278965,0.8985888142665591,0.0593164389346317
12,0.1431278517372849,0.0043498362090366215,0.0997215033044995,0.002091006878344037,1.7817628010480382,0.02656488984773508,0.9373960255320568,0.041482433035903966
13,0.14991879821581822,0.005045177381275743,0.09838920731457806,0.0024207329535920587,1.788724759988966,0.033067587216730844,0.9144319846453809,0.05193665739668104
14,0.16891693607601965,0.011758450211180913,0.10921455926842133,0.005676993283799095,1.6745270338285454,0.04086575197043245,0.8854691095916754,0.04969968076318741
