k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,scaler,geometry,n_neighbors
2,0.542,0.343,1.0,L2 Normalization,cosine,10
2,0.542,0.343,1.0,L2 Normalization,cosine,5
2,0.542,0.343,1.0,L2 Normalization,cosine,7
2,0.542,0.343,1.0,L2 Normalization,cosine,8
2,0.542,0.343,1.0,L2 Normalization,cosine,9
2,0.542,0.335,1.0,Share of Top 30 (L1 Norm),cosine,10
2,0.542,0.335,1.0,Share of Top 30 (L1 Norm),cosine,5
2,0.542,0.335,1.0,Share of Top 30 (L1 Norm),cosine,7
2,0.542,0.335,1.0,Share of Top 30 (L1 Norm),cosine,8
2,0.542,0.335,1.0,Share of Top 30 (L1 Norm),cosine,9
2,0.542,0.333,1.0,Share of Total,cosine,10
2,0.542,0.333,1.0,Share of Total,cosine,5
2,0.542,0.333,1.0,Share of Total,cosine,7
2,0.542,0.333,1.0,Share of Total,cosine,8
2,0.542,0.333,1.0,Share of Total,cosine,9
2,0.536,0.338,1.0,L2 Normalization,cosine,11
2,0.536,0.338,1.0,L2 Normalization,cosine,6
2,0.536,0.331,1.0,Share of Total,cosine,11
2,0.536,0.331,1.0,Share of Total,cosine,6
2,0.536,0.328,1.0,Share of Top 30 (L1 Norm),cosine,11
2,0.536,0.328,1.0,Share of Top 30 (L1 Norm),cosine,6
2,0.521,0.325,1.0,L2 Normalization,cosine,12
2,0.521,0.325,1.0,L2 Normalization,cosine,13
2,0.521,0.325,1.0,L2 Normalization,cosine,14
2,0.521,0.325,1.0,L2 Normalization,cosine,15
2,0.521,0.319,1.0,Share of Total,cosine,12
2,0.521,0.319,1.0,Share of Total,cosine,13
2,0.521,0.319,1.0,Share of Total,cosine,14
2,0.521,0.318,0.998,Share of Total,cosine,15
2,0.521,0.314,1.0,Share of Top 30 (L1 Norm),cosine,12
2,0.521,0.314,1.0,Share of Top 30 (L1 Norm),cosine,13
2,0.521,0.314,1.0,Share of Top 30 (L1 Norm),cosine,14
2,0.521,0.314,0.998,Share of Top 30 (L1 Norm),cosine,15
2,0.519,0.328,1.0,TF-IDF,cosine,10
2,0.519,0.328,1.0,TF-IDF,cosine,11
2,0.519,0.328,1.0,TF-IDF,cosine,5
2,0.519,0.328,1.0,TF-IDF,cosine,6
2,0.519,0.328,1.0,TF-IDF,cosine,7
2,0.519,0.328,1.0,TF-IDF,cosine,8
2,0.519,0.328,1.0,TF-IDF,cosine,9
2,0.501,0.31,1.0,TF-IDF,cosine,12
2,0.501,0.31,1.0,TF-IDF,cosine,13
2,0.501,0.31,1.0,TF-IDF,cosine,14
2,0.501,0.31,1.0,TF-IDF,cosine,15
2,0.458,0.271,0.897,Share of Top 30 (L1 Norm),cosine,16
2,0.458,0.271,0.897,Share of Total,cosine,16
2,0.43,0.261,1.0,L2 Normalization,cosine,16
2,0.407,0.248,1.0,TF-IDF,cosine,17
2,0.406,0.239,0.941,Share of Total,cosine,17
2,0.406,0.238,0.941,Share of Top 30 (L1 Norm),cosine,17
2,0.405,0.247,0.987,TF-IDF,cosine,16
2,0.4,0.243,1.0,L2 Normalization,cosine,18
2,0.4,0.243,1.0,L2 Normalization,cosine,19
2,0.4,0.242,1.0,L2 Normalization,cosine,17
2,0.4,0.236,1.0,Share of Total,cosine,18
2,0.4,0.236,1.0,Share of Total,cosine,19
2,0.4,0.234,1.0,Share of Top 30 (L1 Norm),cosine,18
2,0.4,0.234,1.0,Share of Top 30 (L1 Norm),cosine,19
2,0.389,0.235,1.0,L2 Normalization,cosine,20
2,0.389,0.228,1.0,Share of Total,cosine,20
2,0.389,0.227,1.0,Share of Top 30 (L1 Norm),cosine,20
2,0.388,0.237,1.0,TF-IDF,cosine,18
2,0.358,0.219,0.975,TF-IDF,cosine,19
2,0.335,0.205,1.0,TF-IDF,cosine,20
3,0.342,0.199,1.0,L2 Normalization,cosine,9
3,0.342,0.188,1.0,Share of Top 30 (L1 Norm),cosine,9
3,0.342,0.188,1.0,Share of Total,cosine,9
3,0.341,0.199,1.0,L2 Normalization,cosine,10
3,0.341,0.199,1.0,L2 Normalization,cosine,11
3,0.341,0.187,1.0,Share of Total,cosine,10
3,0.341,0.187,1.0,Share of Total,cosine,11
3,0.341,0.186,1.0,Share of Top 30 (L1 Norm),cosine,10
3,0.341,0.186,1.0,Share of Top 30 (L1 Norm),cosine,11
3,0.334,0.195,1.0,L2 Normalization,cosine,12
3,0.334,0.195,1.0,L2 Normalization,cosine,6
3,0.334,0.186,1.0,Share of Total,cosine,6
3,0.334,0.184,1.0,Share of Top 30 (L1 Norm),cosine,6
3,0.334,0.183,1.0,Share of Total,cosine,12
3,0.334,0.182,1.0,Share of Top 30 (L1 Norm),cosine,12
3,0.332,0.194,1.0,L2 Normalization,cosine,13
3,0.332,0.186,0.995,Share of Total,cosine,13
3,0.332,0.185,0.995,Share of Top 30 (L1 Norm),cosine,13
3,0.331,0.193,1.0,L2 Normalization,cosine,8
3,0.331,0.184,1.0,Share of Total,cosine,8
3,0.331,0.183,1.0,Share of Top 30 (L1 Norm),cosine,8
3,0.327,0.191,1.0,L2 Normalization,cosine,5
3,0.327,0.181,1.0,Share of Total,cosine,5
3,0.327,0.179,1.0,Share of Top 30 (L1 Norm),cosine,5
3,0.324,0.189,0.913,L2 Normalization,cosine,7
3,0.324,0.18,0.956,Share of Top 30 (L1 Norm),cosine,7
3,0.324,0.18,0.956,Share of Total,cosine,7
3,0.322,0.188,1.0,L2 Normalization,cosine,15
3,0.322,0.179,1.0,Share of Top 30 (L1 Norm),cosine,15
3,0.322,0.178,1.0,Share of Total,cosine,15
3,0.321,0.188,1.0,L2 Normalization,cosine,14
3,0.321,0.188,1.0,L2 Normalization,cosine,16
3,0.321,0.188,1.0,L2 Normalization,cosine,17
3,0.321,0.187,1.0,L2 Normalization,cosine,19
3,0.321,0.179,1.0,Share of Top 30 (L1 Norm),cosine,16
3,0.321,0.179,1.0,Share of Top 30 (L1 Norm),cosine,17
3,0.321,0.179,1.0,Share of Total,cosine,16
3,0.321,0.179,1.0,Share of Total,cosine,17
3,0.321,0.178,1.0,Share of Top 30 (L1 Norm),cosine,14
3,0.321,0.178,1.0,Share of Top 30 (L1 Norm),cosine,19
3,0.321,0.178,1.0,Share of Total,cosine,19
3,0.321,0.177,1.0,Share of Total,cosine,14
3,0.32,0.188,0.957,L2 Normalization,cosine,18
3,0.32,0.187,1.0,L2 Normalization,cosine,20
3,0.32,0.179,1.0,Share of Total,cosine,20
3,0.32,0.178,1.0,Share of Top 30 (L1 Norm),cosine,20
3,0.319,0.179,0.997,Share of Top 30 (L1 Norm),cosine,18
3,0.319,0.179,0.997,Share of Total,cosine,18
3,0.309,0.181,1.0,TF-IDF,cosine,9
3,0.309,0.181,0.998,TF-IDF,cosine,11
3,0.303,0.177,1.0,TF-IDF,cosine,10
