Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.48975641553795624,0.0005691032887849706,0.30860383652153267,0.0003074207968792201,1.3913607770613021,0.002382283220149602,0.9989844565432029,0.007108804197579616
3,0.39041538297624145,1.1102230246251565e-16,0.22734994445299198,5.551115123125783e-17,1.4986014355365922,2.220446049250313e-16,1.0,0.0
4,0.36067752534306036,0.0017498672716779707,0.20580887094761025,0.0009706172218663217,1.4363705929208692,0.004850888157856635,0.997316192703399,0.00925451514939557
5,0.3129098226818072,0.0029543922795914053,0.1770778848334692,0.002363741967927089,1.6193524609580066,0.008443527371587973,0.9676876625752925,0.03231283011751332
6,0.30415137417482946,0.0024020450643747592,0.17036155914994566,0.001961463371634552,1.6365080393058355,0.00833818996637679,0.9860125956413663,0.027572197447522956
7,0.26458531808780245,0.013059750799658595,0.14570409183364713,0.008740146381494483,1.6099623662645437,0.07258842188800431,0.7452360530565942,0.12011248887222853
8,0.2895296347432995,0.009740609026268157,0.1585698627356431,0.005390727850165574,1.5992262863319349,0.046168699427078984,0.7775880038250556,0.09294220920358187
9,0.286740883097029,0.0071308891237326965,0.15664758520867303,0.0035584648920980125,1.5651720854407873,0.022054244403565126,0.9210647097354531,0.06575285668776078
10,0.25815933180746387,0.011966506974105498,0.14026001700793725,0.0102869085900311,1.5564883482266678,0.03916285142773269,0.7536821547183448,0.08970884038350076
11,0.259783444091481,0.014784185351890257,0.14135814293217433,0.010652153140333723,1.452391882821903,0.06859080801486221,0.681615049307042,0.0934166253303696
12,0.2521852164430479,0.01847015200067232,0.1347025232608997,0.011997631069620651,1.4255167267902893,0.08066952216209702,0.6146799082762616,0.0812161090046968
13,0.2402231979494349,0.0220875704625787,0.1257074531422492,0.013714594665278261,1.4218747613724296,0.08246113308868572,0.5934569997021103,0.08899015177558978
14,0.22304859267430605,0.02111834360163315,0.1163890679813779,0.014244625410355762,1.417017094803925,0.09134706195494881,0.5814509175961616,0.08349255155189102
