Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.5123821750469455,0.0,0.3445768623517336,1.6653345369377348e-16,1.294602097494034,2.220446049250313e-16,1.0,0.0
3,0.3903265125854061,0.0008842492241179319,0.22205027097421767,0.000615802107914577,1.4730845506726638,0.0014081218794139113,0.9994557562259867,0.0038097064180942653
4,0.36627234656636226,5.551115123125783e-17,0.20455981740748985,1.1102230246251565e-16,1.407831288755251,4.890025172686939e-16,1.0,0.0
5,0.3103445132190614,0.0015464633504447644,0.1682346002877151,0.0013738043737573217,1.6053205919074012,0.0032619313319580344,0.9778524288208201,0.019450247648525147
6,0.31669023388118467,0.00916279909762694,0.1694978211323817,0.005921595155355191,1.494835902225676,0.054083324488128914,0.9470354357306445,0.07821627745154092
7,0.2836969060863576,0.013569339749956267,0.1464971798515929,0.007726220115296135,1.5010889495983575,0.08729480674209562,0.843421511841614,0.10490088331292075
8,0.28680337181749044,0.008281417079235475,0.14950341108861204,0.0034034936849501045,1.547317014266434,0.04579742864120698,0.863620565639756,0.08514176099591456
9,0.2723250075229931,0.008801712750281764,0.14116844534344508,0.006040392045070975,1.5367579757246437,0.04619322474616951,0.7596763893162755,0.09055862477324647
10,0.26149825521902587,0.011417774675664233,0.13539248257895842,0.007733703104837585,1.5270361205511334,0.028342144773158374,0.7774875276730205,0.08429171811372947
11,0.23334614191007963,0.02086966299190963,0.11850434513880602,0.012633739754523988,1.5433066083694502,0.0629410714751346,0.6932918599733284,0.09023081016982736
12,0.22580883131468021,0.01940743870147354,0.11456195254628848,0.011455986618347578,1.5048049839752478,0.07589440792101661,0.6169061187699687,0.08352766260079188
13,0.23702748871942705,0.02356032888577689,0.1181656941398224,0.013695036391984862,1.4213538842130637,0.07862934187921568,0.6131286132096849,0.08609439535131237
14,0.23157911061838823,0.020123373359751947,0.11355708698405705,0.011260243928900715,1.3886570127765294,0.056172956723929815,0.6248121811653483,0.08131195150964035
