Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.5254659473815985,1.1102230246251565e-16,0.33618213493684174,0.0,1.1775662390170878,4.440892098500626e-16,1.0,0.0
3,0.393019756621578,5.551115123125783e-17,0.2383543547575817,1.1102230246251565e-16,1.4563267716292032,4.440892098500626e-16,1.0,0.0
4,0.37348248427413916,1.6653345369377348e-16,0.22984751208858953,2.7755575615628914e-17,1.3394809193887165,4.940180589338315e-16,1.0,0.0
5,0.3039502381376193,0.0004292909125747744,0.1851774256637871,0.00020680470147199428,1.6431141484576761,0.0016001285835344394,0.9994453823178722,0.0038823237748946333
6,0.30035004092242557,0.0015082422868820044,0.18078405773483003,0.0009114165571430952,1.6229206660109363,0.0022432285504605733,0.985336330173176,0.0187603491124101
7,0.2531270378818134,0.0017662130491699663,0.15437565343091364,0.0009459066409942752,1.6890180132756814,0.0052181134322704156,0.9538712895764009,0.03124615568191895
8,0.2749679149135995,0.005328448327224978,0.16724988905569724,0.0025895163309531104,1.635188916994433,0.014746922723784585,0.9656221114270531,0.04120870489585239
9,0.27580383151193755,0.00949251828266597,0.16569432186316294,0.0040390036940168095,1.5842526777959005,0.02121104335155837,0.8593333401958914,0.0848775311181498
10,0.2742975193631313,0.009456382503683258,0.16509536045104542,0.006224461926586827,1.4980859189484732,0.013309583806049767,0.849554726739458,0.07057287787299972
11,0.25510018524917233,0.00642434515763639,0.15120381435706087,0.0036471652360983813,1.4794771066415606,0.015939762829688394,0.8948695096833703,0.05709119582988764
12,0.24019640753363194,0.008782261505885165,0.14163375333071773,0.004364192817486034,1.5455642275092603,0.033421845208206354,0.8165472813515697,0.0736270720055083
13,0.2432568474755058,0.007323700582045273,0.14339554438690652,0.0039040604734970393,1.5005025612638117,0.03229298887918379,0.8340541130511189,0.06471490210735203
14,0.24138871805112377,0.011046968463709334,0.1423087278305572,0.005683489776132446,1.4915007307592651,0.036408526038739855,0.7857383278697682,0.07232407833187449
