,k,Silhouette_mean (cosine),Silhouette_mean (euclidean),ARI_mean,scaler,geometry,n_neighbors
0,2,0.537,0.343,1.0,L2 Normalization,cosine,7
1,3,0.355,0.211,1.0,L2 Normalization,cosine,10
2,4,0.327,0.194,1.0,L2 Normalization,cosine,16
3,5,0.291,0.172,1.0,L2 Normalization,cosine,9
4,6,0.299,0.176,0.99,L2 Normalization,cosine,11
5,7,0.269,0.159,0.985,L2 Normalization,cosine,9
6,8,0.255,0.151,0.861,L2 Normalization,cosine,19
7,9,0.233,0.14,0.867,L2 Normalization,cosine,14
8,10,0.23,0.137,0.822,L2 Normalization,cosine,15
9,11,0.219,0.133,0.807,L2 Normalization,cosine,14
10,12,0.214,0.128,0.761,L2 Normalization,cosine,15
11,13,0.223,0.132,0.838,L2 Normalization,cosine,11
12,14,0.209,0.122,0.693,L2 Normalization,cosine,15
0,2,0.537,0.343,1.0,L2 Normalization,euclidean,7
1,3,0.355,0.211,1.0,L2 Normalization,euclidean,10
2,4,0.329,0.183,1.0,Share of Top 30 (L1 Norm),euclidean,20
3,5,0.291,0.172,1.0,L2 Normalization,euclidean,9
4,6,0.299,0.176,0.99,L2 Normalization,euclidean,11
5,7,0.269,0.159,0.985,L2 Normalization,euclidean,9
6,8,0.255,0.151,0.861,L2 Normalization,euclidean,19
7,9,0.24,0.143,0.904,Share of Top 30 (L1 Norm),euclidean,11
8,10,0.232,0.138,0.912,Share of Top 30 (L1 Norm),euclidean,14
9,11,0.234,0.131,0.888,Share of Top 30 (L1 Norm),euclidean,6
10,12,0.217,0.133,0.834,Share of Top 30 (L1 Norm),euclidean,6
11,13,0.223,0.132,0.838,L2 Normalization,euclidean,11
12,14,0.209,0.122,0.693,L2 Normalization,euclidean,15
