year,province,male,female
2009,Adana,19545,18154
2009,Adıyaman,6808,6607
2009,Afyonkarahisar,6132,5695
2009,Aksaray,3973,3643
2009,Amasya,2237,2114
2009,Ankara,35365,32977
2009,Antalya,15719,14928
2009,Ardahan,969,938
2009,Artvin,1031,1026
2009,Aydın,6683,6288
2009,Ağrı,8624,8151
2009,Balıkesir,6510,6025
2009,Bartın,1248,1186
2009,Batman,6958,6728
2009,Bayburt,693,668
2009,Bilecik,1334,1272
2009,Bingöl,2832,2751
2009,Bitlis,4857,4538
2009,Bolu,1751,1702
2009,Burdur,1588,1488
2009,Bursa,20080,18878
2009,Denizli,6716,6450
2009,Diyarbakır,20230,19168
2009,Düzce,2612,2446
2009,Edirne,2108,2002
2009,Elazığ,4908,4582
2009,Erzincan,1568,1455
2009,Erzurum,8321,7832
2009,Eskişehir,4527,4303
2009,Gaziantep,22060,20884
2009,Giresun,2699,2562
2009,Gümüşhane,1060,1008
2009,Hakkari,3200,3070
2009,Hatay,15660,14686
2009,Isparta,2997,2757
2009,Iğdır,2286,2127
2009,Kahramanmaraş,11939,11304
2009,Karabük,1394,1319
2009,Karaman,2027,1979
2009,Kars,3688,3458
2009,Kastamonu,2267,2206
2009,Kayseri,11567,10609
2009,Kilis,1409,1406
2009,Kocaeli,13334,12542
2009,Konya,18190,17196
2009,Kütahya,3735,3453
2009,Kırklareli,1740,1643
2009,Kırıkkale,1987,1890
2009,Kırşehir,1524,1476
2009,Malatya,6562,6169
2009,Manisa,9665,9064
2009,Mardin,10120,9885
2009,Mersin,13997,13122
2009,Muğla,5599,5144
2009,Muş,6241,5810
2009,Nevşehir,2381,2326
2009,Niğde,3449,3211
2009,Ordu,5394,5070
2009,Osmaniye,4904,4718
2009,Rize,2379,2147
2009,Sakarya,6804,6526
2009,Samsun,9592,9013
2009,Siirt,4626,4343
2009,Sinop,1356,1296
2009,Sivas,5384,5163
2009,Tekirdağ,5787,5368
2009,Tokat,4828,4573
2009,Trabzon,5706,5483
2009,Tunceli,477,473
2009,Uşak,2342,2123
2009,Van,15457,14885
2009,Yalova,1421,1396
2009,Yozgat,4455,4136
2009,Zonguldak,4490,4349
2009,Çanakkale,2627,2590
2009,Çankırı,1331,1201
2009,Çorum,4070,3902
2009,İstanbul,107974,102467
2009,İzmir,26267,24571
2009,Şanlıurfa,28017,26403
2009,Şırnak,7040,6822
2010,Adana,19177,18042
2010,Adıyaman,7037,6495
2010,Afyonkarahisar,5868,5555
2010,Aksaray,3675,3712
2010,Amasya,2154,2043
2010,Ankara,35038,33233
2010,Antalya,15980,14694
2010,Ardahan,920,846
2010,Artvin,1052,954
2010,Aydın,6513,6290
2010,Ağrı,8945,8629
2010,Balıkesir,6642,6073
2010,Bartın,1232,1177
2010,Batman,7075,6828
2010,Bayburt,676,634
2010,Bilecik,1312,1232
2010,Bingöl,2798,2811
2010,Bitlis,4814,4447
2010,Bolu,1748,1630
2010,Burdur,1590,1440
2010,Bursa,20244,18985
2010,Denizli,6471,6104
2010,Diyarbakır,20501,19706
2010,Düzce,2534,2445
2010,Edirne,2069,1910
2010,Elazığ,4745,4508
2010,Erzincan,1581,1453
2010,Erzurum,8264,7715
2010,Eskişehir,4497,4260
2010,Gaziantep,21815,20843
2010,Giresun,2638,2541
2010,Gümüşhane,930,901
2010,Hakkari,3129,2953
2010,Hatay,15236,14645
2010,Isparta,2729,2659
2010,Iğdır,2283,2273
2010,Kahramanmaraş,11684,11270
2010,Karabük,1280,1277
2010,Karaman,1864,1762
2010,Kars,3759,3600
2010,Kastamonu,2243,2107
2010,Kayseri,11236,10451
2010,Kilis,1520,1391
2010,Kocaeli,13160,12704
2010,Konya,18117,16907
2010,Kütahya,3687,3590
2010,Kırklareli,1725,1658
2010,Kırıkkale,1874,1798
2010,Kırşehir,1464,1429
2010,Malatya,6455,6020
2010,Manisa,9590,8870
2010,Mardin,10388,9851
2010,Mersin,13871,13420
2010,Muğla,5549,5235
2010,Muş,6338,5861
2010,Nevşehir,2283,2119
2010,Niğde,3183,3062
2010,Ordu,5166,4891
2010,Osmaniye,4970,4716
2010,Rize,2231,2129
2010,Sakarya,6800,6235
2010,Samsun,9237,8661
2010,Siirt,4521,4397
2010,Sinop,1308,1204
2010,Sivas,5259,4923
2010,Tekirdağ,5745,5481
2010,Tokat,4724,4329
2010,Trabzon,5656,5183
2010,Tunceli,451,423
2010,Uşak,2300,2187
2010,Van,15439,14863
2010,Yalova,1366,1234
2010,Yozgat,4048,3700
2010,Zonguldak,4302,4017
2010,Çanakkale,2521,2460
2010,Çankırı,1287,1175
2010,Çorum,3950,3686
2010,İstanbul,109846,103975
2010,İzmir,25793,24510
2010,Şanlıurfa,28673,27334
2010,Şırnak,7084,6549
2011,Adana,18876,18010
2011,Adıyaman,6855,6549
2011,Afyonkarahisar,5762,5398
2011,Aksaray,3683,3579
2011,Amasya,2111,1930
